absolute_mixing_share,degenerate_group_index,excitation_gap_hartree,excited_energy_hartree,first_state_index,formula_id,last_state_index,mixing_contribution_hartree,squared_d4_coupling,state_count,system_id
1.6110733974170114e-30,9,1.0443897922234209,-0.7905198429945312,10,yoshida4,10,-1.4581475151875176e-35,1.522874380417789e-35,1,H4
1.1839512321252965e-31,10,1.0604059685798364,-0.7745036666381158,11,yoshida4,11,-1.0715685269178613e-36,1.1362976616860032e-36,1,H4
4.9802131478659184e-31,11,1.1829471132482374,-0.6519625219697148,12,yoshida4,12,-4.507482674785438e-36,5.3321136181538775e-36,1,H4
5.624365386431967e-32,12,1.222412052510143,-0.6124975827078092,13,yoshida4,13,-5.090490865208956e-37,6.222677386824214e-37,1,H4
0.00020455239824120712,13,1.2231371638814266,-0.6117724713365257,14,yoshida4,14,-1.8513592968468581e-09,2.264466359670778e-09,1,H4
0.0002628185453550028,14,1.386852225071333,-0.448057410146619,15,yoshida4,15,-2.378713530178167e-09,3.2989241521348763e-09,1,H4
0.009466666335786033,15,1.4466950842493214,-0.38821455096863083,16,yoshida4,16,-8.568073941737827e-08,1.239539045299682e-07,1,H4
1.0263410218766866e-30,16,1.4657392678310055,-0.36917036738694675,17,yoshida4,17,-9.289189512929053e-36,1.3615529835424084e-35,1,H4
3.2388819749805275e-06,17,1.5270082580205764,-0.30790137719737587,18,yoshida4,18,-2.931441678185101e-11,4.476335650494346e-11,1,H4
8.142479043570604e-32,18,1.5417422950892887,-0.29316734012866336,19,yoshida4,19,-7.3695808048748454e-37,1.1361994423953712e-36,1,H4
0.26293072546432045,19,1.6148300439093695,-0.22007959130858268,20,yoshida4,20,-2.3797288479651606e-06,3.842857640051974e-06,1,H4
0.15608567363641812,20,1.6909190569330883,-0.14399057828486375,21,yoshida4,21,-1.4126975067319158e-06,2.3887571358148562e-06,1,H4
2.1020721616683087e-32,21,1.7543717147955356,-0.08053792042241656,22,yoshida4,22,-1.9025398248122877e-37,3.3377620549227314e-37,1,H4
2.721344877189096e-32,22,1.7843624497414337,-0.050547185476518444,23,yoshida4,23,-2.4630300996860472e-37,4.394938422462683e-37,1,H4
2.1033083441188516e-30,23,1.9072512938125754,0.07234165859462317,24,yoshida4,24,-1.9036586666797456e-35,3.630755455002467e-35,1,H4
6.668877589098451e-05,24,1.9083022446399358,0.07339260942198376,25,yoshida4,25,-6.035856157282578e-10,1.1518237853266121e-09,1,H4
2.8897114875315138e-28,25,1.9493303433535765,0.11442070813562433,26,yoshida4,26,-2.615415059244656e-33,5.0983079354494996e-33,1,H4
0.14515873548734978,26,1.9879670253887332,0.15305739017078104,27,yoshida4,27,-1.3138001645238155e-06,2.611791405023638e-06,1,H4
0.06997456054424503,27,2.0798111338616896,0.24490149864373725,28,yoshida4,28,-6.333245384568847e-07,1.3171954264304446e-06,1,H4
0.0005688876768954784,28,2.3109887638064803,0.4760791285885283,29,yoshida4,29,-5.148878715370079e-09,1.1899000857422598e-08,1,H4
1.5071254892956138e-31,29,2.3741679332102055,0.5392582979922533,30,yoshida4,30,-1.3640665228632906e-36,3.23852299734757e-36,1,H4
1.9956434125603487e-31,30,2.4159544278004885,0.5810447925825365,31,yoshida4,31,-1.806213477232409e-36,4.363729447872555e-36,1,H4
0.0031208795478618223,31,2.416376901626625,0.581467266408673,32,yoshida4,32,-2.824640246192553e-08,6.825395446304629e-08,1,H4
0.035681142640981114,32,2.687231906216378,0.8523222709984262,33,yoshida4,33,-3.229422667174171e-07,8.678207629888828e-07,1,H4
1.104970843521798e-30,33,2.8202308699037353,0.9853212346857831,34,yoshida4,34,-1.0000850938381662e-35,2.82047085417297e-35,1,H4
0.011342377731267223,34,2.9173510369080677,1.0824414016901154,35,yoshida4,35,-1.026573955704428e-07,2.99487659413713e-07,1,H4
3.124714626661914e-33,0,0.23263021512018422,-1.602279420097768,1,current_m3,1,-4.4715170946022204e-41,1.0402099836308957e-41,1,H4
1.8959970603332084e-06,1,0.44689330600359045,-1.3880163292143617,2,current_m3,2,-2.7132024135120468e-14,1.2125119964313193e-14,1,H4
8.426504268233962e-07,2,0.5167295624334949,-1.3181800727844573,3,current_m3,3,-1.205846369509875e-14,6.230964668788561e-15,1,H4
2.4904334289553487e-33,3,0.5432494222542252,-1.291660212963727,4,current_m3,4,-3.5638504571020955e-41,1.9360597018211698e-41,1,H4
5.210749243637946e-33,4,0.7286961653819206,-1.1062134698360315,5,current_m3,5,-7.456666320758917e-41,5.433644154469537e-41,1,H4
