formula_id,point_role,relative_to_proxy_t_ana,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,unitarity_residual_frobenius,proxy_repeatability_error_hartree,proxy_noise_hartree,signal_to_noise_rho,quality_class
current_m3,leading_grid,,0.059536836625564964,0.9999999999999996,-1.0161818613797054e-11,0.9999999999999996,-1.016181861379706e-11,-1.016181861379706e-11,0,-1.7068119822532855e-10,-1.7068119822532863e-10,5.571701801125024e-13,0.0,9.358410887978805e-12,18.23826718749594,marginal
current_m3,leading_grid,,0.06823469042157068,0.9999999999999971,-2.0094190453461563e-11,0.9999999999999971,-2.009419045346162e-11,-2.009419045346162e-11,0,-2.9448643101206613e-10,-2.9448643101206696e-10,5.618080194831064e-13,0.0,8.233466232676054e-12,35.7670053765863,marginal
current_m3,leading_grid,,0.07820323082009921,0.9999999999999988,-3.9735193349559354e-11,0.9999999999999988,-3.9735193349559406e-11,-3.9735193349559406e-11,0,-5.081016849670476e-10,-5.081016849670482e-10,5.565890841532588e-13,0.0,7.117213423492069e-12,71.3905365391933,marginal
current_m3,leading_grid,,0.08962809493114333,0.999999999999998,-7.857389050134664e-11,0.999999999999998,-7.857389050134679e-11,-7.857389050134679e-11,0,-8.766658552958303e-10,-8.766658552958319e-10,5.612111761185306e-13,0.0,6.261554220801863e-12,140.00770805168614,resolved
current_m3,leading_grid,,0.10272203995594266,0.9999999999999979,-1.5537628559298593e-10,0.9999999999999979,-1.5537628559298627e-10,-1.5537628559298627e-10,0,-1.5125895636382085e-09,-1.5125895636382118e-09,5.593357264344306e-13,0.0,5.445138420871791e-12,277.7871647560497,resolved
current_m3,leading_grid,,0.11772890521456138,0.9999999999999973,-3.0725129769043914e-10,0.9999999999999973,-3.0725129769043997e-10,-3.0725129769043997e-10,0,-2.609820393135165e-09,-2.609820393135172e-09,5.607527322190294e-13,0.0,4.763084572960697e-12,547.9265281054878,resolved
current_m3,leading_grid,,0.1349281529938828,0.9999999999999992,-6.075839751842023e-10,0.9999999999999992,-6.075839751842028e-10,-6.075839751842028e-10,0,-4.5030185450752305e-09,-4.503018545075235e-09,5.591246115596534e-13,0.0,4.1438691566837225e-12,1086.6700599878327,resolved
current_m3,leading_grid,,0.1546400727770369,0.9999999999999978,-1.2014980569524647e-09,0.9999999999999978,-1.2014980569524674e-09,-1.2014980569524674e-09,0,-7.769642340280117e-09,-7.769642340280135e-09,5.604454259871276e-13,0.0,3.624192720053804e-12,2143.8270369255556,resolved
current_m3,leading_grid,,0.1772317457689607,0.9999999999999969,-2.375991965113213e-09,0.9999999999999969,-2.3759919651132205e-09,-2.3759919651132205e-09,0,-1.3406130796739745e-08,-1.3406130796739788e-08,5.587622602946466e-13,0.0,3.1527210764094662e-12,4252.241308960817,resolved
current_m3,leading_grid,,0.20312388079125288,0.9999999999999967,-4.698648437323941e-09,0.9999999999999967,-4.698648437323957e-09,-4.698648437323957e-09,0,-2.313193514726447e-08,-2.313193514726455e-08,5.592055537627143e-13,0.0,2.7530271260295624e-12,8402.363684888762,resolved
