condition,formula,state_role,point_role,relative_to_full_cisd_t_ana,relative_to_proxy_t_ana,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
CO_active_eq_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.25,,0.038669461538338466,0.9999999999999586,-4.8139501551691666e-09,-1.244897126482204e-07,8.814286780522296e-09,,0.546153111991656,0.9999999999999586,1.0,0.10098642623052001,0.0064435298554599285,0.10771379480138421
CO_active_eq_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.4,,0.06187113846134155,0.9999999999999571,-5.046497308924813e-08,-8.156464281125159e-07,9.235737803560546e-08,,0.5464097634927765,0.9999999999999614,1.0,0.10095723578706384,0.006787128746509552,0.1080117030069232
CO_active_eq_sto3g,yoshida4,full_cisd,equal_cost_extra_training,0.7,,0.1082744923073477,0.9999999999988116,-8.27560374061509e-07,-7.64317020958545e-06,1.512158389697973e-06,,0.547270960303834,0.999999999999955,0.9999999999999999,0.10108045488595963,0.0073631759732961655,0.10872174007818103
CO_active_stretch150_sto3g,current_m3,full_cisd,model_training,0.1,0.1,0.09672099225114116,0.9999999999999608,-3.0959323993329235e-10,-3.200889824717856e-09,5.831351215822964e-09,3.0959323993329235e-10,0.0530911667767897,0.9999999999999609,0.9999999999999999,0.2415587748400867,0.00880626612342894,0.2510017300955951
CO_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.1,,0.09672099225114116,0.999999999999964,-3.81129183768536e-10,-3.9405011766102855e-09,5.643134458770015e-09,,0.06753856151278158,0.999999999999964,1.0,0.2042916608043015,0.0072899069637060165,0.212099215015769
CO_active_stretch150_sto3g,current_m3,full_cisd,model_training,0.2,0.2,0.1934419845022823,0.9999999999999472,-1.0044623077742898e-08,-5.192576525508291e-08,1.8712250604285445e-07,1.0044623077742898e-08,0.05367939586830083,0.9999999999999645,1.0,0.2420654648449272,0.010050382930785418,0.2527538051363081
CO_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.2,,0.1934419845022823,0.9999999999999498,-1.2265461257765509e-08,-6.340640729738169e-08,1.81077637431958e-07,,0.0677359249419984,0.9999999999999662,1.0,0.20185772189870477,0.008488400839269161,0.2108836299739778
CO_active_stretch150_sto3g,current_m3,full_cisd,model_training,0.3,0.3,0.29016297675342345,0.9999999999989408,-7.815937147492846e-08,-2.693636946706238e-07,1.4265353090679252e-06,7.815937147492846e-08,0.05478965082609593,0.9999999999999583,1.0,0.24124276684597135,0.011509618954733014,0.25339786405675113
CO_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.3,,0.29016297675342345,0.9999999999990077,-9.414911289473693e-08,-3.2446976505463536e-07,1.3803815692676502e-06,,0.06820513616730405,0.9999999999999604,1.0,0.2021801001392305,0.009885163977742195,0.21259537199512124
CO_active_stretch150_sto3g,current_m3,full_cisd,selection_diagnostic,0.5,0.5,0.48360496125570573,0.9999999998292015,-1.092100937460927e-06,-2.2582500696957894e-06,1.848041111806761e-05,1.092100937460927e-06,0.05909505640776684,0.9999999999999645,1.0,0.23881163308396935,0.012795984977856278,0.25225412705913186
CO_active_stretch150_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.5,,0.48360496125570573,0.9999999998401345,-1.2613135622618898e-06,-2.6081485164809367e-06,1.787915673837959e-05,,0.07054659124690935,0.9999999999999667,0.9999999999999999,0.204274311196059,0.010817591100931168,0.215627018827945
CO_active_stretch150_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.15,,0.14508148837671173,0.9999999999999598,-2.3643124680283734e-09,-1.6296444808239846e-08,4.43349417150596e-08,,0.05332842170457323,0.9999999999999606,1.0000000000000002,0.20210448978468776,0.007932054344564676,0.2105722208507359
CO_active_stretch150_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.25,,0.24180248062785287,0.9999999999997939,-3.098634054898852e-08,-1.28147322841895e-07,5.72120724112577e-07,,0.054160493132025214,0.9999999999999576,1.0,0.20487387711182237,0.008819410111755133,0.2142208837904036
