condition,formula,point_role,relative_to_proxy_t_ana,short_grid_index,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
CO_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,3,0.030108450502611094,0.9999999999999839,-2.5481000642813e-10,-8.463072731226475e-09,1.6954400907079139e-09,2.5481000642813e-10,0.15029136554258113,0.9999999999999837,1.0,0.11659520398825407,0.007377641042694449,0.12432700302451849
CO_active_stretch150_sto3g,yoshida4,proxy_scale_fit,,4,0.034507053373351075,0.9999999999999853,-5.039720307742357e-10,-1.4604899042566195e-08,3.3518876833829682e-09,5.039720307742357e-10,0.15035468917192074,0.9999999999999852,1.0,0.14497523708269,0.01683514378964901,0.16233618999831378
CO_active_stretch150_sto3g,yoshida4,selection_diagnostic,0.05,,0.01179348193668913,0.999999999999984,-2.3482327193846686e-12,-1.991127583855786e-10,1.5642164984852177e-11,2.3482327193846686e-12,0.15012197618799505,0.9999999999999838,1.0000000000000002,0.11945333587937057,0.0069124719593673944,0.12672456610016525
CO_active_stretch150_sto3g,yoshida4,model_training,0.1,,0.02358696387337826,0.999999999999983,-7.516584576983121e-11,-3.1867537582769664e-09,5.003938267868516e-10,7.516584576983121e-11,0.1502133754376809,0.9999999999999829,1.0,0.11569747608155012,0.0074831899255514145,0.12352910498157144
CO_active_stretch150_sto3g,yoshida4,model_training,0.2,,0.04717392774675652,0.9999999999999842,-2.4083220140358463e-09,-5.1051971482307456e-08,1.599305139502306e-08,2.4083220140358463e-09,0.1505855233345465,0.9999999999999841,1.0000000000000002,0.11529069696553051,0.00768699892796576,0.12332073482684791
CO_active_stretch150_sto3g,yoshida4,model_training,0.3,,0.07076089162013477,0.9999999999999828,-1.8326412498659295e-08,-2.589906949878593e-07,1.2119992825918864e-07,1.8326412498659295e-08,0.15120811341957124,0.9999999999999899,1.0000000000000002,0.11671022302471101,0.008466167142614722,0.12551908986642957
CO_active_stretch150_sto3g,yoshida4,selection_diagnostic,0.5,,0.11793481936689129,0.9999999999987804,-2.37258691082598e-07,-2.0117781360608536e-06,1.548477800628527e-06,2.37258691082598e-07,0.15322059572716815,0.9999999999999793,1.0,0.11549851694144309,0.009331075008958578,0.12520196079276502
HF_full_eq_sto3g,current_m3,proxy_scale_fit,,0,0.02,0.9999999999999308,-1.3071044246970587e-11,-6.535522123485293e-10,4.432741891722208e-08,1.3071044246970587e-11,0.0002948749231571484,0.9999999999999317,1.0,0.04267529398202896,0.0011116371024399996,0.04391411109827459
HF_full_eq_sto3g,current_m3,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999278,-2.5783819523894635e-11,-1.1248582217439704e-09,8.725883383683989e-08,2.5783819523894635e-11,0.00029548663888983743,0.9999999999999316,1.0,0.04245324502699077,0.001132437027990818,0.04370789113454521
HF_full_eq_sto3g,current_m3,proxy_scale_fit,,2,0.026270536109242643,0.9999999999999206,-5.080574849714026e-11,-1.9339441070357718e-09,1.7152631259514575e-07,5.080574849714026e-11,0.00029619798693543463,0.999999999999935,1.0000000000000002,0.045258026802912354,0.0011542169377207756,0.04656772408634424
HF_full_eq_sto3g,current_m3,proxy_scale_fit,,3,0.030108450502611094,0.9999999999998739,-9.9998065383744e-11,-3.321262426808443e-09,3.365447110986031e-07,9.9998065383744e-11,0.0002971315907990778,0.9999999999999304,1.0000000000000002,0.04264941508881748,0.0011610961519181728,0.0439438009634614
HF_full_eq_sto3g,current_m3,proxy_scale_fit,,4,0.034507053373351075,0.9999999999997116,-1.9650159277517787e-10,-5.6945341188399205e-09,6.587043162915302e-07,1.9650159277517787e-10,0.00029831532588319934,0.9999999999999282,1.0000000000000002,0.04327115183696151,0.0012491869274526834,0.04466526978649199
HF_full_eq_sto3g,current_m3,selection_diagnostic,0.05,,0.0148871685974198,0.9999999999999318,-2.997713188790385e-12,-2.0136221130121007e-10,1.0194599194917214e-08,2.997713188790385e-12,0.0002940491461679998,0.9999999999999318,1.0000000000000002,0.04315734305419028,0.0011081171687692404,0.04441162897273898
HF_full_eq_sto3g,current_m3,model_training,0.1,,0.0297743371948396,0.9999999999998811,-9.461292860279968e-11,-3.1776669950254244e-09,3.185109466832108e-07,9.461292860279968e-11,0.0002970476512284558,0.9999999999999319,0.9999999999999999,0.04318300308659673,0.0013542259112000465,0.044658959144726396
HF_full_eq_sto3g,current_m3,model_training,0.2,,0.0595486743896792,0.9999999999570774,-2.84058437882706e-09,-4.7701891065427e-08,9.257949217448229e-06,2.84058437882706e-09,0.00030682652411545753,0.999999999999932,1.0,0.04301483300514519,0.0012380769476294518,0.04437711997888982
