condition,formula,excited_state_index,excited_energy_hartree,excitation_gap_hartree,d4_coupling_real,d4_coupling_imaginary,d4_coupling_absolute,mixing_contribution_hartree
HF_full_stretch150_sto3g,yoshida4,8,-36.174552333947986,1.0999324701440045,0.0023157313568252557,0.0,0.0023157313568252557,-4.875400865547373e-06
HF_full_stretch150_sto3g,yoshida4,9,-36.08688271546788,1.1876020886241108,0.6245129537903515,0.0,0.6245129537903515,-0.3284066550470629
HF_full_stretch150_sto3g,yoshida4,10,-35.697836944101105,1.576647859990885,-0.003351159153255317,0.0,0.003351159153255317,-7.122876296874445e-06
HF_full_stretch150_sto3g,yoshida4,11,-35.33770250334586,1.9367823007461311,0.06740796850517329,0.0,0.06740796850517329,-0.0023460738030515642
HF_full_stretch150_sto3g,yoshida4,12,-34.506208631112834,2.7682761729791565,-2.752233191064602,0.0,2.752233191064602,-2.736283182991033
HF_full_stretch150_sto3g,yoshida4,13,-12.046673934097313,25.227810869994677,-0.07871323311257009,0.0,0.07871323311257009,-0.00024559297273006337
HF_full_stretch150_sto3g,yoshida4,14,-12.039947287452708,25.234537516639282,1.9453448537857818,0.0,1.9453448537857818,-0.1499677415389709
HF_full_stretch150_sto3g,yoshida4,15,-11.153333136606225,26.121151667485766,0.14212313051393302,0.0,0.14212313051393302,-0.0007732807681762008
HF_full_stretch150_sto3g,yoshida4,16,-11.095885319988747,26.178599484103245,-0.781094488664691,0.0,0.781094488664691,-0.023305624145128122
HF_full_stretch150_sto3g,yoshida4,17,-10.228297642582078,27.046187161509913,-0.024079172683553727,0.0,0.024079172683553727,-2.143764493168696e-05
HF_full_stretch150_sto3g,yoshida4,18,-10.078243882586774,27.196240921505215,5.098023540996719,0.0,5.098023540996719,-0.9556410424355911
HF_full_stretch150_sto3g,yoshida4,19,18.040561484111993,55.31504628820399,-39.91451787095065,0.0,39.91451787095065,-28.80172473452642
HF_full_stretch150_sto3g,current_m3,1,-37.099293777765546,0.1751910263264449,-2.535370424096922e-05,0.0,2.535370424096922e-05,-3.6691966033736804e-09
HF_full_stretch150_sto3g,current_m3,2,-36.63742481906293,0.6370599850290617,-0.0006908696482817889,0.0,0.0006908696482817889,-7.492243778193492e-07
HF_full_stretch150_sto3g,current_m3,3,-36.5868518204804,0.6876329836115929,5.308505925481494e-17,0.0,5.308505925481494e-17,-4.098150587958073e-33
HF_full_stretch150_sto3g,current_m3,4,-36.47931108028391,0.7951737238080838,-1.56075411824637e-06,0.0,1.56075411824637e-06,-3.063422928460504e-12
HF_full_stretch150_sto3g,current_m3,5,-36.479311080283885,0.7951737238081051,5.086686707511896e-07,0.0,5.086686707511896e-07,-3.2539281525130394e-13
HF_full_stretch150_sto3g,current_m3,6,-36.45530889565574,0.8191759084362502,-0.001206237005666095,0.0,0.001206237005666095,-1.7761846983706042e-06
HF_full_stretch150_sto3g,current_m3,7,-36.36095851718717,0.9135262869048191,-0.0036813530715507515,0.0,0.0036813530715507515,-1.4835216710986864e-05
HF_full_stretch150_sto3g,current_m3,8,-36.174552333947986,1.0999324701440045,8.522695397170625e-06,0.0,8.522695397170625e-06,-6.603708755269651e-11
HF_full_stretch150_sto3g,current_m3,9,-36.08688271546788,1.1876020886241108,0.0018244526606541857,0.0,0.0018244526606541857,-2.8028137899492063e-06
HF_full_stretch150_sto3g,current_m3,10,-35.697836944101105,1.576647859990885,5.591465474999934e-06,0.0,5.591465474999934e-06,-1.982972035258208e-11
HF_full_stretch150_sto3g,current_m3,11,-35.33770250334586,1.9367823007461311,0.00028794200713740104,0.0,0.00028794200713740104,-4.2808424799407975e-08
HF_full_stretch150_sto3g,current_m3,12,-34.506208631112834,2.7682761729791565,-0.007330866699267184,0.0,0.007330866699267184,-1.9413383349172503e-05
HF_full_stretch150_sto3g,current_m3,13,-12.046673934097313,25.227810869994677,-0.0017260785494928625,0.0,0.0017260785494928625,-1.1809772850972751e-07
HF_full_stretch150_sto3g,current_m3,14,-12.039947287452708,25.234537516639282,0.10221488873970118,0.0,0.10221488873970118,-0.00041403110610528567
HF_full_stretch150_sto3g,current_m3,15,-11.153333136606225,26.121151667485766,0.0033229406938210214,0.0,0.0033229406938210214,-4.227200620865484e-07
HF_full_stretch150_sto3g,current_m3,16,-11.095885319988747,26.178599484103245,0.056191273387642154,0.0,0.056191273387642154,-0.00012061222781769071
HF_full_stretch150_sto3g,current_m3,17,-10.228297642582078,27.046187161509913,-0.0006947369469775045,0.0,0.0006947369469775045,-1.7845747447259712e-08
HF_full_stretch150_sto3g,current_m3,18,-10.078243882586774,27.196240921505215,-0.5570762149012791,0.0,0.5570762149012791,-0.011410911901554086
HF_full_stretch150_sto3g,current_m3,19,18.040561484111993,55.31504628820399,-6.803659145164726,0.0,6.803659145164726,-0.8368388145678001
