point_role,used_as_direct_truth,used_for_model_fit,used_for_cost_validation,source,time,signed_pf_eigenvalue_shift_hartree,committed_signed_shift_hartree,committed_shift_absolute_difference_hartree,ground_overlap_probability,adjacent_selected_vector_overlap_probability,phase_unwrap_integer,eigenpair_residual_2_norm,selected_phase_gap_radians,phase_gap_over_time_hartree,condition,formula,relative_to_t_ana,physical_excitation_gap_hartree,normalized_phase_gap_over_physical_gap,build_seconds
f05_diagnostic_only,False,False,False,reused_committed_point,0.009444520605881988,-3.2570355301686504e-09,-3.256980164480237e-09,5.5365688413236406e-14,1.0000000000000004,,0,3.39359058105135e-15,0.0016545952872638774,0.17519102941375403,HF_full_stretch150_sto3g,yoshida4,0.1,0.17519102632640937,1.0000000176227328,0.014344447059556842
f05_diagnostic_only,False,False,False,reused_committed_point,0.018889041211763977,-5.1653842092491686e-08,-5.165379671556304e-08,4.537692864686019e-14,0.9999999999999267,0.9999999999999365,0,3.714601469224046e-15,0.0033091914407869668,0.175191075274166,HF_full_stretch150_sto3g,yoshida4,0.2,0.17519102632640937,1.000000279396483,0.014424016000702977
f05_diagnostic_only,False,False,False,reused_committed_point,0.028333561817645965,-2.576631246142824e-07,-2.5766310939127516e-07,1.5223007259342433e-14,0.9999999999981726,0.9999999999988236,0,3.2568787368458754e-15,0.004963792688857982,0.17519127036709387,HF_full_stretch150_sto3g,yoshida4,0.3,0.17519102632640937,1.0000013929976301,0.01439180294983089
f05_diagnostic_only,False,False,False,reused_committed_point,0.03777808242352795,-7.975463063303323e-07,-7.975463224515469e-07,1.6121214602077608e-14,0.9999999999819584,0.9999999999916012,0,4.763799360137328e-15,0.006618409548545006,0.1751917811588844,HF_full_stretch150_sto3g,yoshida4,0.4,0.17519102632640937,1.000004308625224,0.014360093977302313
f05_diagnostic_only,False,False,False,reused_committed_point,0.04722260302940994,-1.8950618070334713e-06,-1.8950618125939861e-06,5.5605148594997005e-15,0.9999999998929767,0.9999999999627371,0,3.4544570326543354e-15,0.008273060906081244,0.17519281817075677,HF_full_stretch150_sto3g,yoshida4,0.5,0.17519102632640937,1.0000102279459455,0.014306970871984959
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.07083390454411491,-8.699390789956851e-06,,,0.9999999969821289,0.9999999979870517,0,2.996024075953828e-15,0.012410044950420447,0.17519922176097957,HF_full_stretch150_sto3g,yoshida4,0.75,0.17519102632640937,1.0000467799906312,0.014399049105122685
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.0802784251499969,-1.360219415857955e-05,,,0.9999999902685921,0.9999999979784666,0,2.8760080096821276e-15,0.014065086161504137,0.17520381267101476,HF_full_stretch150_sto3g,yoshida4,0.85,0.17519102632640937,1.000072985157251,0.014402632135897875
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.0850006854529379,-1.657232350993354e-05,,,0.9999999821203579,0.9999999986667514,-1,3.750893802181564e-15,0.01489267972644674,0.17520658388916557,HF_full_stretch150_sto3g,yoshida4,0.9,0.17519102632640937,1.000088803422655,0.014365131966769695
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.08972294575587889,-1.9864837589977924e-05,,,0.9999999656062596,0.9999999970732196,-1,3.2630896534040184e-15,0.015720325506801965,0.1752096453628968,HF_full_stretch150_sto3g,yoshida4,0.95,0.17519102632640937,1.000106278482853,0.01435825601220131
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.09444520605881988,-2.3415198761256306e-05,,,0.9999999282719922,0.9999999926048122,-1,2.67522819995088e-15,0.016548021280275323,0.1752129300238841,HF_full_stretch150_sto3g,yoshida4,1.0,0.17519102632640937,1.0001250275081666,0.014489906141534448
