condition,evaluation_group,strategy,selected_formula,selected_time,rotations,predicted_error_hartree,direct_error_hartree,predicted_cost,stored_budget_gamma_1_01,recomputed_budget_gamma_1_01,stored_s4_beta,practical_cost_beta,stored_phase_error_hartree,protocol_beta_phase_error_hartree,consistent_phase_error_hartree,cost_identity_phase_error_hartree,stored_energy_margin_hartree,consistent_energy_margin_hartree,stored_success,consistent_success,stored_phase_matches_protocol_beta,consistent_phase_matches_cost_identity,direct_cost_matches_practical_beta,success_changed,joint_formula_time_selection_regret
CO_active_eq_sto3g,primary,equal_cost_extra_points,current_m3,0.6231575639432553,37936,3.032844483461116e-05,2.1355095299349217e-05,566159691.2729467,571821288.1856762,571821288.1856762,0.105,1.2,1.117847719741339e-05,1.117847719741339e-05,0.00012775402511329588,0.00012775402511329588,0.00012682643770227739,1.0250889786394906e-05,True,True,True,True,True,False,0.02467657634834297
CO_active_stretch150_sto3g,primary,practical_baseline,current_m3,0.8652659966787087,37712,2.8587320950995892e-05,1.519699111857161e-05,399939334.26033634,403938727.6029397,403938727.6029397,0.105,1.2,1.1329317137825603e-05,1.1329317137825603e-05,0.00012947791014657832,0.00012947791014657832,0.0001328337019426428,1.4685108933890079e-05,True,True,True,True,True,False,0.07181964670876817
CO_active_stretch150_sto3g,primary,fixed_current_m3,current_m3,0.8652659966787087,37712,2.8587320950995892e-05,1.519699111857161e-05,399939334.26033634,403938727.6029397,403938727.6029397,0.105,1.2,1.1329317137825603e-05,1.1329317137825603e-05,0.00012947791014657832,0.00012947791014657832,0.0001328337019426428,1.4685108933890079e-05,True,True,True,True,True,False,0.07181964670876817
CO_active_stretch150_sto3g,primary,fixed_yoshida4,yoshida4,0.23265001816506647,16240,3.137818119039523e-05,3.005851352474898e-05,654509369.1036259,661054462.7946621,661054462.7946621,0.105,1.2,1.1087534691342987e-05,1.1087534691342987e-05,0.000126714682186777,0.000126714682186777,0.00011821396198294805,2.586814487514033e-06,True,True,True,True,True,False,0.9139255338042953
CO_active_stretch150_sto3g,primary,diagnostic_record_only,current_m3,0.8652659966787087,37712,2.8587320950995892e-05,1.519699111857161e-05,399939334.26033634,403938727.6029397,403938727.6029397,0.105,1.2,1.1329317137825603e-05,1.1329317137825603e-05,0.00012947791014657832,0.00012947791014657832,0.0001328337019426428,1.4685108933890079e-05,True,True,True,True,True,False,0.07181964670876817
CO_active_stretch150_sto3g,primary,universal_fallback,current_m3,0.48360496125570573,37712,2.238612930368647e-06,1.5160318661589063e-06,595572629.7579049,601528356.0554839,601528356.0554839,0.105,1.2,1.3612002238622517e-05,1.3612002238622517e-05,0.00015556573986997164,0.00015556573986997164,0.0001442319760942586,2.278238462909474e-06,True,True,True,True,True,False,0.7514851252225914
CO_active_stretch150_sto3g,primary,state_targeted_fallback,current_m3,0.8652659966787087,37712,2.8587320950995892e-05,1.519699111857161e-05,399939334.26033634,403938727.6029397,403938727.6029397,0.105,1.2,1.1329317137825603e-05,1.1329317137825603e-05,0.00012947791014657832,0.00012947791014657832,0.0001328337019426428,1.4685108933890079e-05,True,True,True,True,True,False,0.07181964670876817
CO_active_stretch150_sto3g,primary,equal_cost_extra_points,current_m3,0.8564643863838549,37712,2.830580146524344e-05,1.4599274143959654e-05,403181438.29454714,407213252.6774926,407213252.6774926,0.105,1.2,1.1353706202185346e-05,1.1353706202185346e-05,0.00012975664231068968,0.00012975664231068968,0.000133407029852895,1.5004093744390662e-05,True,True,True,True,True,False,0.07836337163527207
HF_full_eq_sto3g,stress_test,practical_baseline,current_m3,0.148871685974198,9108,1.0751001536769666e-06,1.9998854262236836e-06,463823391.8193374,468461625.7375308,468461625.7375308,0.105,1.2,1.3712801612840856e-05,1.3712801612840856e-05,0.00015671773271818122,0.00015671773271818122,0.00014364732315997545,6.423920546350928e-07,True,True,True,True,True,False,1.1415343639702962
HF_full_eq_sto3g,stress_test,fixed_current_m3,current_m3,0.148871685974198,9108,1.0751001536769666e-06,1.9998854262236836e-06,463823391.8193374,468461625.7375308,468461625.7375308,0.105,1.2,1.3712801612840856e-05,1.3712801612840856e-05,0.00015671773271818122,0.00015671773271818122,0.00014364732315997545,6.423920546350928e-07,True,True,True,True,True,False,1.1415343639702962
HF_full_eq_sto3g,stress_test,fixed_yoshida4,yoshida4,0.03412144429266872,3948,1.9632734016267056e-06,1.963799779839093e-06,882135419.3915215,890956773.5854367,890956773.5854367,0.105,1.2,1.3635855910666995e-05,1.3635855910666995e-05,0.00015583835326476563,0.00015583835326476566,0.0001437603545085339,1.5578571544352785e-06,True,True,True,True,True,False,3.0491539613263567
