system_id,formula_id,method_id,point_count,indices_json,times_json,orders_json,fixed_a4,scaled_design_condition_number,maximum_training_residual_hartree,estimated_a4_hartree,estimated_a6_hartree,estimated_a8_hartree
H2,m5_best,direct_fixed_a4_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[6, 8]",True,15.991232488996264,1.8966632143988112e-15,-2.404951309484247e-07,4.7341103181311075e-09,5.906434887447469e-11
H2,m5_best,direct_order12_16,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8, 10, 12]",False,6784.797330107626,2.1181918156179048e-15,-2.4049329827676384e-07,4.707034976950868e-09,2.0687127220306014e-10
H4,yoshida4,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,1.6263032587282567e-19,-0.004711581648562298,0.000998869809876969,-7.582681763156349e-05
H4,yoshida4,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,6.432669230182347e-12,-0.004711583224955933,0.0009988786532556132,-7.583886681799953e-05
H4,yoshida4,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-0.004711578748179356,0.0009988379303600818,-7.576846872404976e-05
H4,yoshida4,direct_fixed_a4_3_tail,3,"[11, 13, 15]","[0.3931379077393266, 0.5080446277807349, 0.65653639279173]","[6, 8]",True,22.621806544636392,2.945673539074198e-11,-0.004711578748179356,0.000998850363093472,-7.579728873713469e-05
H4,yoshida4,direct_fixed_a4_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[6, 8]",True,15.991232488996264,3.238373925843006e-11,-0.004711578748179356,0.0009988515620142822,-7.579991649096096e-05
H4,yoshida4,direct_order12_16,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8, 10, 12]",False,6784.797330107626,5.698837669126933e-14,-0.004711578833860436,0.0009987960424946698,-7.530889738227899e-05
H4,current_m3,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,8.470329472543003e-22,-1.287416170888412e-05,4.3421096981478994e-07,9.439734673933261e-09
H4,current_m3,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,5.858087613562209e-14,-1.2874176758318986e-05,4.3429582106547326e-07,9.323692367806514e-09
