system_id,formula_id,method_id,estimate_state_id,estimated_a4_hartree,estimated_a6_hartree,estimated_a8_hartree,reference_a4_hartree,reference_a6_hartree,reference_a8_hartree,a6_relative_error,a8_relative_error,a6_sign_matches_reference,a8_sign_matches_reference,reference_three_term_tstar_hartree_inverse,reference_shift_at_tstar_hartree,higher_order_coefficient_residual_at_tstar_hartree,higher_order_residual_over_epsilon,full_coefficient_residual_at_tstar_hartree,full_residual_over_epsilon,meets_higher_order_residual_threshold,direct_point_count,direct_times_json,maximum_direct_training_time_hartree_inverse,tstar_to_maximum_training_time_ratio,scaled_design_condition_number,maximum_training_residual_hartree,online_evaluation_seconds,requires_exact_state,requires_exact_a4,requires_dense_d6_d8,requires_direct_pf_eigenvalues,acquisition_scope
H2,two_term_center,direct_free_5_tail,direct_pf_branch,-4.656045949529862e-06,4.9703772384781227e-08,-1.0835078276506552e-11,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,3.0845595737333806e-05,0.23677793857862273,True,True,1.6340495019241474,-3.22499135979635e-05,1.4167458712640597e-10,8.890222016769137e-07,1.4345315061854695e-10,9.001828654464476e-07,True,5,"[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.4888940199884844,115.5597404166589,3.3214775752576784e-16,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,two_term_center,direct_fixed_a4_2_tail,direct_pf_branch,-4.656046198994239e-06,4.970610556350211e-08,-1.4905797319127066e-11,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,1.609463919154199e-05,0.049963190547561924,True,True,1.6340495019241474,-3.22499135979635e-05,-2.0824824664774558e-11,1.3067785725392736e-07,-2.0824824664774558e-11,1.3067785725392736e-07,True,2,"[0.3931379077393266, 0.65653639279173]",0.65653639279173,2.4888940199884844,67.7000299710837,0.0,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,two_term_center,direct_fixed_a4_3_tail,direct_pf_branch,-4.656046198994239e-06,4.970539840673738e-08,-1.3266554638409191e-11,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,1.867651618452039e-06,0.06550493492598868,True,True,1.6340495019241474,-3.22499135979635e-05,4.903626201240418e-11,3.0770744775403873e-07,4.903626201240418e-11,3.0770744775403873e-07,True,3,"[0.3931379077393266, 0.5080446277807349, 0.65653639279173]",0.65653639279173,2.4888940199884844,22.621806544636392,1.6754585658908938e-15,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,two_term_center,direct_fixed_a4_5_tail,direct_pf_branch,-4.656046198994239e-06,4.970528202003012e-08,-1.3005550513341894e-11,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,4.738832724253262e-07,0.08389004496301306,True,True,1.6340495019241474,-3.22499135979635e-05,6.008753266889523e-11,3.7705527625058594e-07,6.008753266889523e-11,3.7705527625058594e-07,True,5,"[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.4888940199884844,15.991232488996264,1.956227620941931e-15,,False,True,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,two_term_center,direct_order12_16,direct_pf_branch,-4.656043998777117e-06,4.967270151594926e-08,1.6495279858537582e-10,-4.656046198994239e-06,4.970530557454298e-08,-1.4196495127942157e-11,0.0006559472518446437,12.619262155819612,True,False,1.6340495019241474,-3.22499135979635e-05,8.485518251043378e-09,5.324747557712252e-05,8.50120476266915e-09,5.33459100062254e-05,True,16,"[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,2.4888940199884844,6784.797330107626,2.3346149232917306e-15,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
H2,m5_best,bch_exact_d8_diagonal,exact,-2.404951309484236e-07,4.734068960026991e-09,1.4064837162576652e-10,-2.404951309484247e-07,4.734068960026916e-09,5.822268661977109e-11,1.5725638083934718e-14,1.4156970382401688,True,True,5.949284531232825,-4.074014915570259e-12,0.0001293541854185686,0.8117104489200632,0.00012935418541856994,0.8117104489200715,False,0,[],,,,,0.0002588527277112007,True,False,True,False,stored dense D6/D8 expectations; omits D4 response mixing
H2,m5_best,bch_exact_response,exact,-2.404951309484236e-07,4.734068960026991e-09,5.822268661977347e-11,-2.404951309484247e-07,4.734068960026916e-09,5.822268661977109e-11,1.5725638083934718e-14,4.084566342018287e-14,True,True,5.949284531232825,-4.074014915570259e-12,7.033016301570815e-18,4.4132880593987204e-14,8.359400308618714e-18,5.24560728766135e-14,True,0,[],,,,,0.0002588527277112007,True,False,True,False,H04 compact D4 action + stored dense D6/D8 + projected response
H2,m5_best,bch_hf_response,hf,-3.5720944505067595e-06,-1.2295866494240807e-07,-4.300250333338819e-09,-2.404951309484247e-07,4.734068960026916e-09,5.822268661977109e-11,26.973146141434526,74.8586723320073,False,False,5.949284531232825,-4.074014915570259e-12,-0.012501741168695724,78.44967600768285,-0.016675349829070207,104.63948771239887,False,0,[],,,,,0.00024537602439522743,False,False,True,False,HF state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,m5_best,bch_cisd_response,cisd,-2.404951309484247e-07,4.734068960026927e-09,5.822268661977198e-11,-2.404951309484247e-07,4.734068960026916e-09,5.822268661977109e-11,2.271481056568348e-15,1.5317123782568577e-14,True,True,5.949284531232825,-4.074014915570259e-12,1.87634215669342e-18,1.1774234667466928e-14,1.87634215669342e-18,1.1774234667466928e-14,True,0,[],,,,,0.0002444582059979439,False,False,True,False,CISD state + H04 compact D4 action + stored dense D6/D8 + projected response
H2,m5_best,direct_free_3_tail,direct_pf_branch,-2.4049497054868585e-07,4.733104423356759e-09,6.054428453618983e-11,-2.404951309484247e-07,4.734068960026916e-09,5.822268661977109e-11,0.00020374368821014915,0.03987445532323441,True,True,5.949284531232825,-4.074014915570259e-12,3.6006169808099135e-06,0.02259423161628038,3.6008179190605495e-06,0.022595492523896945,True,3,"[0.5080446277807349, 0.577537693402241, 0.65653639279173]",0.65653639279173,9.06162186369475,238.70602739061877,9.926167350636332e-24,,False,False,False,True,reused signed direct PF eigenvalue shifts; original point wall times unavailable
