system_id,formula_id,state_id,sign,time_hartree_inverse,auxiliary_fit_a4,auxiliary_fit_a6,scaled_design_condition_number,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,closure_residual_hartree,closure_over_target_error
H2_stored,yoshida4,exact_ground,1,0.12,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-2.0755892372177313e-07,-2.0756061961761202e-07,-2.0756061961761202e-07,-2.0756062701909883e-07,1.695895838887409e-12,0.0,7.401486813187857e-15,1.7032973257005968e-12,0.0,0.0
H2_stored,yoshida4,exact_ground,1,0.18,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-1.0491838110596098e-06,-1.0491888944061699e-06,-1.0491888944061699e-06,-1.0491891466735126e-06,5.083346560051942e-12,0.0,2.5226734272349024e-13,5.3356139027754324e-12,0.0,0.0
H2_stored,yoshida4,exact_ground,1,0.27,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-5.2934589471536396e-06,-5.29345735989362e-06,-5.29345735989362e-06,-5.2934638906654286e-06,-1.5872600195665303e-12,0.0,6.530771808557095e-12,4.9435117889905645e-12,0.0,0.0
H2_stored,yoshida4,exact_ground,1,0.4,-0.0010021658698816586,8.378847873517386e-05,17.3589273424777,-2.5312248660071193e-05,-2.5312248766728995e-05,-2.5312248766728995e-05,-2.5312401415678032e-05,1.06657802571462e-13,0.0,1.5264894903666004e-10,1.527556068392315e-10,0.0,0.0
two_level_commuting,current_m3,complex_q001,-1,-0.05,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-2.1145014313843123e-19,-9.71445146547012e-16,-5.887846720064155e-16,0.0,9.712336964038736e-16,-3.826604745405965e-16,-5.887846720064155e-16,-2.1145014313843123e-19,2.1594489501441882e-32,1.355075810704985e-28
two_level_commuting,current_m3,complex_q001,-1,-0.08,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-1.360132124818938e-18,-8.673617379884035e-17,-1.2266347333466968e-16,1.1102230246251565e-15,8.537604167402142e-17,3.592729953582933e-17,-1.2328864979598263e-15,-1.1115831567499755e-15,0.0,0.0
two_level_commuting,current_m3,complex_q001,-1,-0.12,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-6.6195368058061446e-18,1.1564823173178715e-16,2.0543252740130517e-31,2.220446049250313e-16,-1.222677685375933e-16,1.1564823173178695e-16,-2.220446049250311e-16,-2.2866414173083744e-16,0.0,0.0
two_level_commuting,current_m3,complex_q001,-1,-0.18,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-3.047999440018407e-17,-3.854941057726238e-17,-2.1806839703941319e-16,-2.220446049250313e-16,8.06941617707831e-18,1.7951898646215082e-16,3.976207885618122e-18,1.9156461052484724e-16,0.0,0.0
two_level_commuting,current_m3,complex_q001,-1,-0.27,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-1.1977530938306068e-16,5.13992141030165e-17,9.130334551169117e-32,-2.220446049250313e-16,-1.7117452348607717e-16,5.139921410301641e-17,2.220446049250314e-16,1.0226929554197063e-16,2.465190328815662e-32,1.5469315832351221e-28
two_level_commuting,current_m3,complex_q001,-1,-0.4,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-2.19250990243595e-16,-3.469446951953614e-16,-2.943923360032078e-16,0.0,1.2769370495176642e-16,-5.2552359192153634e-17,-2.943923360032078e-16,-2.19250990243595e-16,0.0,0.0
two_level_commuting,current_m3,complex_q001,1,0.05,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-2.1145014313843123e-19,-2.7755575615628914e-16,-5.887846720064157e-16,0.0,2.7734430601315073e-16,3.1122891585012653e-16,-5.887846720064157e-16,-2.1145014313843123e-19,2.1594489501441882e-32,1.355075810704985e-28
