system_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,direct_shift_hartree,unitarity_residual_frobenius
two_level_commuting,yoshida4,complex_q001,1,0.4,0.4,0.9999999999999993,1.8735013540549517e-16,0.9999999999999993,1.873501354054953e-16,1.873501354054953e-16,0,4.683753385137379e-16,4.683753385137382e-16,4.440892098500626e-16,1.88411095042053e-15
two_level_noncommuting,yoshida4,exact_ground,-1,0.05,-0.05,0.9999999999999906,1.0687097879185805e-07,0.9999999999999962,1.0687097879185864e-07,1.0687097879185864e-07,0,-2.137419575837161e-06,-2.1374195758371727e-06,-2.137420458403483e-06,2.198129442157285e-15
two_level_noncommuting,yoshida4,real_q001,-1,0.05,-0.05,0.9999999999999905,1.2041919827502577e-07,0.9999999999999977,1.2041919827502632e-07,1.2041919827502632e-07,0,-2.408383965500515e-06,-2.4083839655005264e-06,-2.137420458403483e-06,2.198129442157285e-15
two_level_noncommuting,yoshida4,complex_q001,-1,0.05,-0.05,0.9999999999999906,1.0584455367723677e-07,0.9999999999999961,1.0584455367723738e-07,1.0584455367723738e-07,0,-2.1168910735447355e-06,-2.1168910735447473e-06,-2.137420458403483e-06,2.198129442157285e-15
two_level_noncommuting,yoshida4,exact_ground,-1,0.08,-0.08,0.9999999999990326,1.1155492178233303e-06,0.9999999999996548,1.1155492178239467e-06,1.1155492178239467e-06,0,-1.3944365222791628e-05,-1.3944365222799334e-05,-1.3944403141508133e-05,1.2560739669470201e-15
two_level_noncommuting,yoshida4,real_q001,-1,0.08,-0.08,0.9999999999990323,1.2574030968856208e-06,0.9999999999998228,1.257403096886175e-06,1.257403096886175e-06,0,-1.571753871107026e-05,-1.5717538711077187e-05,-1.3944403141508133e-05,1.2560739669470201e-15
two_level_noncommuting,yoshida4,complex_q001,-1,0.08,-0.08,0.9999999999990324,1.1118910207899568e-06,0.9999999999996506,1.1118910207905745e-06,1.1118910207905745e-06,0,-1.389863775987446e-05,-1.3898637759882182e-05,-1.3944403141508133e-05,1.2560739669470201e-15
two_level_noncommuting,yoshida4,exact_ground,-1,0.12,-0.12,0.9999999999447462,8.392441967098629e-06,0.9999999999799627,8.392441967365309e-06,8.392441967365309e-06,0,-6.993701639248858e-05,-6.993701639471091e-05,-6.99379907467268e-05,3.1401849173675502e-15
two_level_noncommuting,yoshida4,real_q001,-1,0.12,-0.12,0.9999999999447461,9.466202336350305e-06,0.9999999999895506,9.466202336590598e-06,9.466202336590598e-06,0,-7.888501946958588e-05,-7.888501947158832e-05,-6.99379907467268e-05,3.1401849173675502e-15
two_level_noncommuting,yoshida4,complex_q001,-1,0.12,-0.12,0.9999999999447461,8.437347572540221e-06,0.9999999999803405,8.437347572806203e-06,8.437347572806203e-06,0,-7.031122977116852e-05,-7.031122977338504e-05,-6.99379907467268e-05,3.1401849173675502e-15
