system_id,formula_id,sign,absolute_time,time_hartree_inverse,selected_eigenbranch_id,principal_phase_radians,unwrapped_phase_radians,unwrap_integer,direct_shift_hartree,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,eigenpair_residual_2_norm
two_level_noncommuting,m5_best,-1,0.4,-0.4,1,0.5656862468991397,0.5656862468991397,0,-2.054874754131575e-06,0.9999999996986784,0.9999999998087665,0.9999999998087665,1.2719202621569003e-16
two_level_noncommuting,m5_best,1,0.05,0.05,1,-0.07071067814436563,-0.07071067814436563,0,-5.142173353789303e-10,1.0,0.9999999999999998,0.9999999999999998,1.1443916996305594e-16
two_level_noncommuting,m5_best,1,0.08,0.08,1,-0.11313708525928391,-0.11313708525928391,0,-3.3679536937114563e-09,0.9999999999999996,0.9999999999999996,0.9999999999999996,1.3597399555105182e-16
two_level_noncommuting,m5_best,1,0.12,0.12,1,-0.16970562952828952,-0.16970562952828952,0,-1.702931751168535e-08,0.9999999999999816,0.9999999999999885,0.9999999999999885,1.2177709378935645e-16
two_level_noncommuting,m5_best,1,0.18,0.18,1,-0.25455845670209826,-0.25455845670209826,0,-8.597189515846537e-08,0.999999999999523,0.999999999999692,0.999999999999692,1.2412670766236366e-16
two_level_noncommuting,m5_best,1,0.27,0.27,1,-0.3818377786159399,-0.3818377786159399,0,-4.3250075631995344e-07,0.99999999998754,0.9999999999919387,0.9999999999919387,2.7755575615628914e-17
two_level_noncommuting,m5_best,1,0.4,0.4,1,-0.5656862468991397,-0.5656862468991397,0,-2.054874754131575e-06,0.9999999996986784,0.9999999998087665,0.9999999998087665,1.2719202621569003e-16
H2_stored,m5_best,-1,0.05,-0.05,1,0.03867710702796563,0.03867710702796563,0,-1.5007994846882866e-12,1.0000000000000004,1.0,1.0,8.333897564733124e-17
H2_stored,m5_best,-1,0.08,-0.08,1,0.06188337124541272,0.06188337124541272,0,-9.847123116912826e-12,1.0,1.0,1.0,3.273069708340169e-17
H2_stored,m5_best,-1,0.12,-0.12,1,0.09282505687291968,0.09282505687291968,0,-4.985223345244094e-11,1.0,1.0000000000000004,1.0000000000000004,3.94053425015214e-17
H2_stored,m5_best,-1,0.18,-0.18,1,0.1392375853458199,0.1392375853458199,0,-2.5229873745757914e-10,0.9999999999999998,0.9999999999999996,0.9999999999999996,1.2719202621569003e-16
H2_stored,m5_best,-1,0.27,-0.27,1,0.20885637829519715,0.20885637829519715,0,-1.276251659909633e-09,0.999999999999998,0.9999999999999982,0.9999999999999982,1.1527756336890508e-16
H2_stored,m5_best,-1,0.4,-0.4,1,0.30941685867802227,0.30941685867802227,0,-6.137243824255734e-09,0.9999999999999523,0.99999999999997,0.99999999999997,2.8609792490763985e-16
H2_stored,m5_best,1,0.05,0.05,1,-0.03867710702796563,-0.03867710702796563,0,-1.5007994846882866e-12,1.0000000000000004,1.0000000000000004,1.0000000000000004,8.333897564733124e-17
H2_stored,m5_best,1,0.08,0.08,1,-0.06188337124541272,-0.06188337124541272,0,-9.847123116912826e-12,1.0,1.0,1.0,3.273069708340169e-17
H2_stored,m5_best,1,0.12,0.12,1,-0.09282505687291968,-0.09282505687291968,0,-4.985223345244094e-11,1.0,1.0000000000000004,1.0000000000000004,3.94053425015214e-17
H2_stored,m5_best,1,0.18,0.18,1,-0.1392375853458199,-0.1392375853458199,0,-2.5229873745757914e-10,0.9999999999999998,0.9999999999999996,0.9999999999999996,1.2719202621569003e-16
