dataset,condition,formula,target_name,target_error_hartree,source_status,analysis_status,model_name,formal_order,rotations,alpha,source_analytic_time_ca_div_10,target_analytic_time,saved_direct_point_count,model_time,model_relative_to_target_t_ana,model_signed_shift_hartree,model_absolute_error_hartree,model_cost,model_optimum_at_search_boundary,model_status,nearest_direct_time,nearest_direct_time_relative_mismatch,model_time_direct_point_covered,nearest_direct_error_hartree,nearest_direct_cost,direct_grid_status,direct_grid_minimum_time,direct_grid_minimum_cost,direct_grid_minimum_error_hartree,direct_grid_minimum_bracketed,direct_grid_minimum_lower_gap_fraction,direct_grid_minimum_upper_gap_fraction,feasible_saved_point_count,local_unseen_point_count,local_unseen_coverage,full_existing_curve_coverage,check_eta_star,check_eta_min,check_eta_t,check_maximum_local_unseen_residual_over_target_error,fixed_model_passed,maximum_local_unseen_residual_over_target_error,eta_star,eta_min,eta_t
p03,CO_active_stretch150_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,16240,0.010278281415297352,0.23597837711864197,0.1327003933051651,74,0.13268712326583457,0.9999,-3.1868715577355786e-06,3.1868715577355786e-06,11520145420.699083,False,complete,0.11798918855932099,0.11077137211775046,False,1.9924397126276428e-06,11845444057.536873,complete,0.11798918855932099,11845444057.536873,1.9924397126276428e-06,False,0.19999999999999993,,5,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,yoshida6_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term_5point,6,37712,0.0008192652337249318,0.5503548489470548,0.8078104442167418,28,0.8125765258376205,1.0059,0.00022914243883557532,0.00022914243883557532,40816567.01326504,False,complete,0.6349017367294236,0.21865606925458014,False,5.250745846683758e-05,46251470.90179391,complete,0.6349017367294236,46251470.90179391,5.250745846683758e-05,False,0.043478260869564946,,28,0,False,False,False,False,False,False,False,,,,
p03,CO_active_stretch150_sto3g,yoshida6_m3,CA_div_10,0.00015936001019904,complete,validated_existing_curve,three_term_5point,6,37712,0.0008192652337249318,0.5503548489470548,0.5503548489470548,28,0.552088466721238,1.00315,2.284808034381078e-05,2.284808034381078e-05,600456472.0435938,False,complete,0.552088466721238,0.0,True,2.282619520318033e-05,600360224.280111,complete,0.552088466721238,600360224.280111,2.282619520318033e-05,True,0.009999999999999936,0.009999999999999936,28,23,True,True,True,True,True,True,True,0.0008052080072921589,0.0001603166891980882,0.0,0.0
p03,CO_active_stretch150_sto3g,yoshida6_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,three_term_5point,6,37712,0.0008192652337249318,0.5503548489470548,0.3749523937552207,28,0.3755710652049168,1.00165,2.280823773184274e-06,2.280823773184274e-06,8824118742.307228,False,complete,0.4692751967130523,0.24949773874888148,False,8.646194408771816e-06,13228701094.7683,complete,0.2751774244735274,10554153925.891197,3.539512968728373e-07,False,0.19999999999999998,0.705355,11,0,False,False,False,False,False,False,False,,,,
p03,HF_full_eq_sto3g,current_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,9108,0.004055562412016142,0.29774163152052546,0.5294678128443464,35,0.3119359619372467,0.5891500000000001,0.00019651154933510598,0.00019651154933510598,25079269.823429305,False,complete,0.2750179902028789,0.11835112407396842,False,1.9208463673382377e-05,25242385.18125147,complete,0.2750179902028789,25242385.18125147,1.9208463673382377e-05,False,0.043478260869564946,,35,1,False,False,False,False,False,False,False,0.06077365541135279,,,
p03,HF_full_eq_sto3g,current_m3,CA_div_10,0.00015936001019904,complete,insufficient_existing_curve,two_term_5point,4,9108,0.004055562412016142,0.29774163152052546,0.29774163152052546,35,0.2260305595688069,0.75915,1.4187470191497677e-05,1.4187470191497677e-05,333083126.3135188,False,complete,0.22603055956880694,2.220446049250313e-16,True,0.0004069240636952856,,complete,0.2750179902028789,283560197.1275017,1.9208463673382377e-05,False,0.043478260869564946,,34,27,True,False,False,False,False,False,False,2.6425169862929647,,,
p03,HF_full_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,9108,0.004055562412016142,0.29774163152052546,0.1674324236335889,35,0.18626019967118596,1.11245,-2.4325187849926324e-11,2.4325187849926324e-11,3682184265.3669124,False,complete,0.19212597563348588,0.03149237449898079,False,3.1124782470275568e-06,4436197111.4028425,complete,0.20342750361192624,3896807050.680707,2.1484956050855727e-06,False,0.0007537670054960068,0.0555555555555555,12,3,True,False,False,False,False,False,False,0.3731339335749516,,,
p03,HF_full_eq_sto3g,two_term_center,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,9108,0.00694928027826735,0.26023600252034973,0.4627723250327752,35,0.2964750900322475,0.64065,-0.00023189263793365532,0.00023189263793365532,27072741.741505142,False,complete,0.2895385764041411,0.02339661530198678,False,3.406175599180626e-05,24204815.44265212,complete,0.33296936286476225,20852270.898002554,1.9448214116337295e-05,False,0.04347826086956509,,35,6,True,False,False,False,False,False,False,0.30033435348438703,,,
p03,HF_full_eq_sto3g,two_term_center,CA_div_10,0.00015936001019904,complete,insufficient_existing_curve,two_term_5point,4,9108,0.00694928027826735,0.26023600252034973,0.26023600252034973,35,0.20017353313865302,0.7692,-2.3651608084919713e-05,2.3651608084919713e-05,402337836.5697581,False,complete,0.20017353313865305,2.220446049250313e-16,True,7.81737800154991e-06,360298776.1211544,complete,0.33296936286476225,234609536.2906302,1.9448214116337295e-05,False,0.04347826086956509,,35,22,True,False,False,False,False,False,False,0.2593233254665879,0.11667833263598873,0.5357379832796847,0.3988229685265222
p03,HF_full_eq_sto3g,two_term_center,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,9108,0.00694928027826735,0.26023600252034973,0.1463414585195325,35,0.1338219467431865,0.9144500000000001,-2.453215452530097e-06,2.453215452530097e-06,6057554038.862328,False,complete,0.13011800126017486,0.027678161715281036,False,2.113861763675412e-06,6077033359.733332,complete,0.22019088645251836,3190159910.2610445,3.7661430152756115e-07,False,0.009090909090909106,,27,0,False,False,False,False,False,False,False,,,,
p03,HF_full_eq_sto3g,yoshida4,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,3948,1.4695346791225707,0.06824288464710328,0.12135491664960506,74,0.17424745707133543,1.43585,-1.6444162421937886e-08,1.6444162421937886e-08,17061494.630581737,False,complete,0.08371388781102483,0.519568955449645,False,5.725287586169307e-05,36835918.011731274,complete,0.08371388781102483,36835918.011731274,5.725287586169307e-05,False,0.0008905971688383347,,74,0,False,False,False,False,False,False,False,,,,
p03,HF_full_eq_sto3g,yoshida4,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term_5point,4,3948,1.4695346791225707,0.06824288464710328,0.06824288464710328,74,0.07272985431265032,1.06575,-3.480853588656448e-05,3.480853588656448e-05,522994112.34730107,False,complete,0.07272985431265033,2.220446049250313e-16,True,3.4957156265455326e-05,523618917.8133897,complete,0.07244664634136484,523616106.8154415,3.447017095721092e-05,True,0.005243971363978812,0.003909193669932337,74,66,True,True,True,True,True,True,True,0.0021107508426374344,0.0011932446381001925,5.3684329257563945e-06,0.003909193669932254
p03,HF_full_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,3948,1.4695346791225707,0.06824288464710328,0.03837579418726418,74,0.038832466138092624,1.0119,-3.2555533965980698e-06,3.2555533965980698e-06,9621190932.364279,False,complete,0.03412144232355164,0.1213166271178362,False,1.9637993807041004e-06,9937248833.335968,complete,0.03412144232355164,9937248833.335968,1.9637993807041004e-06,False,0.19999999999999998,,5,0,False,False,False,False,False,False,False,,,,
p03,HF_full_eq_sto3g,yoshida6_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term_5point,6,9108,45.905877459174974,0.08896834311349207,0.13058766886353265,12,0.14373131773464723,1.1006500000000001,0.00019046096601680354,0.00019046096601680354,54194114.27286879,False,complete,0.11675004277582667,0.18772022259360788,False,4.641390702697005e-05,60506863.080900244,complete,0.11675004277582667,60506863.080900244,4.641390702697005e-05,False,0.04347826086956513,,12,0,False,False,False,False,False,False,False,,,,
p03,HF_full_eq_sto3g,yoshida6_m3,CA_div_10,0.00015936001019904,complete,insufficient_existing_curve,three_term_5point,6,9108,45.905877459174974,0.08896834311349207,0.08896834311349207,12,0.1015217763268058,1.1411,2.694638812740341e-05,2.694638812740341e-05,813040902.1661267,False,complete,0.1015217763268058,0.0,True,2.5608122689932577e-05,804905954.9972882,complete,0.10659786514314609,803757191.9717261,3.1795199494964706e-05,False,0.04761904761904765,0.04761904761904765,12,7,True,False,False,True,True,True,False,0.0484262111746809,0.010106705160189687,0.0014292413642285062,0.04761904761904767
p03,HF_full_eq_sto3g,yoshida6_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,three_term_5point,6,9108,45.905877459174974,0.08896834311349207,0.060613426560449636,12,0.0638713982380738,1.05375,2.4752528004431004e-06,2.4752528004431004e-06,12712432017.411715,False,complete,0.044484171556746034,0.30353534157908924,False,3.266367908694726e-07,15740319606.902853,complete,0.044484171556746034,15740319606.902853,3.266367908694726e-07,False,0.1999999999999999,0.9398700000000001,7,0,False,False,False,False,False,False,False,,,,
