system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H2,two_term_center,6,0.2,0.999,True,29,0,0.02,0.039548256806109475,4.006741852141861,4.647566658449209e-06,1.6182511684805174
H2,two_term_center,6,0.3,0.995,True,29,0,0.02,0.039548256806109475,4.006741852141861,4.647566658449209e-06,1.6182511684805174
H2,two_term_center,6,0.3,0.999,True,29,0,0.02,0.039548256806109475,4.006741852141861,4.647566658449209e-06,1.6182511684805174
H2,morales_y8m10b,4,0.1,0.995,True,3,26,0.6930047561509587,1.0432649699322605,7.939736863294404,9.682632095264582e-12,6.064121945801475
H2,morales_y8m10b,4,0.1,0.999,True,3,26,0.6930047561509587,1.0432649699322605,7.939736863294404,9.682632095264582e-12,6.064121945801475
H2,morales_y8m10b,4,0.2,0.995,True,5,26,0.6930047561509587,1.0432649699322605,7.939736863294404,9.682632095264582e-12,6.064121945801475
H2,morales_y8m10b,4,0.2,0.999,True,5,26,0.6930047561509587,1.0432649699322605,7.939736863294404,9.682632095264582e-12,6.064121945801475
H2,morales_y8m10b,4,0.3,0.995,True,5,26,0.6930047561509587,1.0432649699322605,7.939736863294404,9.682632095264582e-12,6.064121945801475
H2,morales_y8m10b,4,0.3,0.999,True,5,26,0.6930047561509587,1.0432649699322605,7.939736863294404,9.682632095264582e-12,6.064121945801475
H2,morales_y8m10b,5,0.1,0.995,True,2,26,0.6930047561509587,1.1956776054243634,7.934088193252971,9.63550639110353e-12,6.067821367256205
H2,morales_y8m10b,5,0.1,0.999,True,2,26,0.6930047561509587,1.1956776054243634,7.934088193252971,9.63550639110353e-12,6.067821367256205
H2,morales_y8m10b,5,0.2,0.995,True,4,26,0.6930047561509587,1.1956776054243634,7.934088193252971,9.63550639110353e-12,6.067821367256205
H2,morales_y8m10b,5,0.2,0.999,True,4,26,0.6930047561509587,1.1956776054243634,7.934088193252971,9.63550639110353e-12,6.067821367256205
H2,morales_y8m10b,5,0.3,0.995,True,4,26,0.6930047561509587,1.1956776054243634,7.934088193252971,9.63550639110353e-12,6.067821367256205
H2,morales_y8m10b,5,0.3,0.999,True,4,26,0.6930047561509587,1.1956776054243634,7.934088193252971,9.63550639110353e-12,6.067821367256205
H2,morales_y8m10b,6,0.1,0.995,True,2,26,0.6930047561509587,1.3703565032056693,7.925842416564138,9.579728857135978e-12,6.072226360142828
H2,morales_y8m10b,6,0.1,0.999,True,2,26,0.6930047561509587,1.3703565032056693,7.925842416564138,9.579728857135978e-12,6.072226360142828
H2,morales_y8m10b,6,0.2,0.995,True,3,26,0.6930047561509587,1.3703565032056693,7.925842416564138,9.579728857135978e-12,6.072226360142828
H2,morales_y8m10b,6,0.2,0.999,True,3,26,0.6930047561509587,1.3703565032056693,7.925842416564138,9.579728857135978e-12,6.072226360142828
H2,morales_y8m10b,6,0.3,0.995,True,3,26,0.6930047561509587,1.3703565032056693,7.925842416564138,9.579728857135978e-12,6.072226360142828
H2,morales_y8m10b,6,0.3,0.999,True,3,26,0.6930047561509587,1.3703565032056693,7.925842416564138,9.579728857135978e-12,6.072226360142828
H4,yoshida4,4,0.1,0.995,True,22,0,0.02,0.030108450502611094,3.999750527384863,0.004710933396966395,0.28679765438701066
H4,yoshida4,4,0.1,0.999,True,22,0,0.02,0.030108450502611094,3.999750527384863,0.004710933396966395,0.28679765438701066
H4,yoshida4,4,0.2,0.995,True,25,0,0.02,0.030108450502611094,3.999750527384863,0.004710933396966395,0.28679765438701066
H4,yoshida4,4,0.2,0.999,True,25,0,0.02,0.030108450502611094,3.999750527384863,0.004710933396966395,0.28679765438701066
H4,yoshida4,4,0.3,0.995,True,26,0,0.02,0.030108450502611094,3.999750527384863,0.004710933396966395,0.28679765438701066
H4,yoshida4,4,0.3,0.999,True,26,0,0.02,0.030108450502611094,3.999750527384863,0.004710933396966395,0.28679765438701066
H4,yoshida4,5,0.1,0.995,True,22,0,0.02,0.034507053373351075,3.9997052409859895,0.0047108241802639485,0.2867993166662935
H4,yoshida4,5,0.1,0.999,True,22,0,0.02,0.034507053373351075,3.9997052409859895,0.0047108241802639485,0.2867993166662935
H4,yoshida4,5,0.2,0.995,True,24,0,0.02,0.034507053373351075,3.9997052409859895,0.0047108241802639485,0.2867993166662935
H4,yoshida4,5,0.2,0.999,True,24,0,0.02,0.034507053373351075,3.9997052409859895,0.0047108241802639485,0.2867993166662935
H4,yoshida4,5,0.3,0.995,True,26,0,0.02,0.034507053373351075,3.9997052409859895,0.0047108241802639485,0.2867993166662935
H4,yoshida4,5,0.3,0.999,True,26,0,0.02,0.034507053373351075,3.9997052409859895,0.0047108241802639485,0.2867993166662935
H4,yoshida4,6,0.1,0.995,True,21,0,0.02,0.039548256806109475,3.9996516039663597,0.004710689315270483,0.2868013693792896
H4,yoshida4,6,0.1,0.999,True,21,0,0.02,0.039548256806109475,3.9996516039663597,0.004710689315270483,0.2868013693792896
