system,formula,time_hartree_inverse,selection_rules_agree,ground_overlap_probability,previous_overlap_probability,phase_gap_radians
H2,yoshida4,5.2093357027708045,False,0.4736684105487029,0.9999999824118221,0.7342295309688139
H2,yoshida4,5.21084660690733,False,0.473536963131871,0.9999999826732823,0.7327663222535943
H2,yoshida4,5.212357511043855,False,0.4734065048199013,0.9999999829325842,0.7313026532064479
H2,yoshida4,5.213868415180381,False,0.47327703481798583,0.9999999831897327,0.7298385266924314
H2,yoshida4,5.215379319316907,False,0.47314855233462827,0.9999999834447341,0.7283739455732849
H2,yoshida4,5.216890223453432,False,0.4730210565816604,0.9999999836975929,0.7269089127074473
H2,yoshida4,5.26019764198221,False,0.46978278896748304,0.9999894792047664,0.6847365774423664
H2,yoshida4,5.3035050605109895,False,0.46733750981088196,0.9999939968742042,0.6422614495661758
H2,yoshida4,5.346812479039768,False,0.465670511411584,0.9999972085886573,0.5995478977463784
H2,yoshida4,5.390119897568547,False,0.46476979672274066,0.9999991847685074,0.5566588485529365
H2,yoshida4,5.433427316097325,False,0.46462618654007326,0.9999999792727915,0.5136561675359612
H2,yoshida4,5.438274228736953,False,0.4646569180529027,0.999999999050827,0.5088389746625928
H2,yoshida4,5.438494146212275,False,0.4646585352731573,0.9999999999973701,0.5086203914613217
H2,yoshida4,5.438494146212277,False,0.46465853527315715,0.9999999999999993,0.5086203914613203
H2,yoshida4,5.4767347346261035,False,0.4652333634106917,0.9999996679404912,0.4706010377977594
H2,yoshida4,5.498699497945141,False,0.4658270518261637,0.9999996458509126,0.44876363129460595
H2,yoshida4,5.498921858947966,False,0.46583404397219424,0.9999999999508808,0.44854259785945677
H2,yoshida4,5.498921858947969,False,0.4658340439721939,1.0,0.44854259785945416
H2,yoshida4,5.499977873658315,False,0.46586751899931506,0.999999998874171,0.44749290229118355
H2,yoshida4,5.50103388836866,False,0.46590143781942017,0.9999999988441324,0.44644323114750595
H2,yoshida4,5.502089903079006,False,0.4659358004248731,0.9999999988136987,0.4453935853114168
