system_id,formula_id,degenerate_group_index,excited_energy_hartree,excitation_gap_hartree,state_count,first_state_index,last_state_index,squared_d4_coupling,mixing_contribution_hartree,absolute_mixing_share
H4,yoshida4,3,-1.291660212963727,0.5432494222542252,1,4,4,2.429877279811789e-36,-4.4728575499058256e-36,4.9419566498128996e-31
H4,yoshida4,4,-1.1062134698360315,0.7286961653819206,1,5,5,2.3007201556557436e-36,-3.15731063913298e-36,3.4884393554891477e-31
H4,yoshida4,5,-1.0007975440348666,0.8341120911830855,1,6,6,2.85565704797755e-07,-3.423589081327369e-07,0.037826442353499176
H4,yoshida4,6,-0.953344752704397,0.8815648825135551,1,7,7,2.4832103933449993e-09,-2.8168209085924164e-09,0.00031122401429581407
H4,yoshida4,7,-0.8831787619676617,0.9517308732502905,1,8,8,7.223299031670049e-07,-7.58964454625865e-07,0.08385622371517029
H4,yoshida4,8,-0.8153265384161082,1.0195830968018438,1,9,9,1.6590541624674539e-06,-1.627188767322112e-06,0.1797843159422253
H4,yoshida4,9,-0.7905198429945312,1.0443897922234209,1,10,10,1.522874380417789e-35,-1.4581475151875176e-35,1.6110733974170114e-30
H4,yoshida4,10,-0.7745036666381158,1.0604059685798364,1,11,11,1.1362976616860032e-36,-1.0715685269178613e-36,1.1839512321252965e-31
H4,yoshida4,11,-0.6519625219697148,1.1829471132482374,1,12,12,5.3321136181538775e-36,-4.507482674785438e-36,4.9802131478659184e-31
H4,yoshida4,12,-0.6124975827078092,1.222412052510143,1,13,13,6.222677386824214e-37,-5.090490865208956e-37,5.624365386431967e-32
H4,yoshida4,13,-0.6117724713365257,1.2231371638814266,1,14,14,2.264466359670778e-09,-1.8513592968468581e-09,0.00020455239824120712
H4,yoshida4,14,-0.448057410146619,1.386852225071333,1,15,15,3.2989241521348763e-09,-2.378713530178167e-09,0.0002628185453550028
H4,yoshida4,15,-0.38821455096863083,1.4466950842493214,1,16,16,1.239539045299682e-07,-8.568073941737827e-08,0.009466666335786033
H4,yoshida4,16,-0.36917036738694675,1.4657392678310055,1,17,17,1.3615529835424084e-35,-9.289189512929053e-36,1.0263410218766866e-30
H4,yoshida4,17,-0.30790137719737587,1.5270082580205764,1,18,18,4.476335650494346e-11,-2.931441678185101e-11,3.2388819749805275e-06
H4,yoshida4,18,-0.29316734012866336,1.5417422950892887,1,19,19,1.1361994423953712e-36,-7.3695808048748454e-37,8.142479043570604e-32
H4,yoshida4,19,-0.22007959130858268,1.6148300439093695,1,20,20,3.842857640051974e-06,-2.3797288479651606e-06,0.26293072546432045
H4,yoshida4,20,-0.14399057828486375,1.6909190569330883,1,21,21,2.3887571358148562e-06,-1.4126975067319158e-06,0.15608567363641812
H4,yoshida4,21,-0.08053792042241656,1.7543717147955356,1,22,22,3.3377620549227314e-37,-1.9025398248122877e-37,2.1020721616683087e-32
H4,yoshida4,22,-0.050547185476518444,1.7843624497414337,1,23,23,4.394938422462683e-37,-2.4630300996860472e-37,2.721344877189096e-32
H4,yoshida4,23,0.07234165859462317,1.9072512938125754,1,24,24,3.630755455002467e-35,-1.9036586666797456e-35,2.1033083441188516e-30
H4,yoshida4,24,0.07339260942198376,1.9083022446399358,1,25,25,1.1518237853266121e-09,-6.035856157282578e-10,6.668877589098451e-05
H4,yoshida4,25,0.11442070813562433,1.9493303433535765,1,26,26,5.0983079354494996e-33,-2.615415059244656e-33,2.8897114875315138e-28
H4,yoshida4,26,0.15305739017078104,1.9879670253887332,1,27,27,2.611791405023638e-06,-1.3138001645238155e-06,0.14515873548734978
H4,yoshida4,27,0.24490149864373725,2.0798111338616896,1,28,28,1.3171954264304446e-06,-6.333245384568847e-07,0.06997456054424503
