system_id,formula_id,excited_state_index,excited_energy_hartree,excitation_gap_hartree,d4_coupling_real,d4_coupling_imaginary,d4_coupling_absolute,mixing_contribution_hartree
H4,current_m3,25,0.07339260942198376,1.9083022446399358,1.1137483228215292e-06,0.0,1.1137483228215292e-06,-6.500203676183478e-13
H4,current_m3,26,0.11442070813562433,1.9493303433535765,1.5412497005477812e-18,0.0,1.5412497005477812e-18,-1.2185982984043446e-36
H4,current_m3,27,0.15305739017078104,1.9879670253887332,-3.5157645307724834e-05,0.0,3.5157645307724834e-05,-6.217708884492604e-10
H4,current_m3,28,0.24490149864373725,2.0798111338616896,-9.003925713571903e-05,0.0,9.003925713571903e-05,-3.897982703121379e-09
H4,current_m3,29,0.4760791285885283,2.3109887638064803,-1.7782262496693213e-07,0.0,1.7782262496693213e-07,-1.3682838465231973e-14
H4,current_m3,30,0.5392582979922533,2.3741679332102055,1.9575354293643345e-19,0.0,1.9575354293643345e-19,-1.6140159689695102e-38
H4,current_m3,31,0.5810447925825365,2.4159544278004885,-7.45183179824627e-19,0.0,7.45183179824627e-19,-2.298462111303531e-37
H4,current_m3,32,0.581467266408673,2.416376901626625,9.032269440229522e-05,0.0,9.032269440229522e-05,-3.376207212789772e-09
H4,current_m3,33,0.8523222709984262,2.687231906216378,-3.0406713035951755e-05,0.0,3.0406713035951755e-05,-3.4405969782954467e-10
H4,current_m3,34,0.9853212346857831,2.8202308699037353,3.4624618355252686e-19,0.0,3.4624618355252686e-19,-4.250943456582414e-38
H4,current_m3,35,1.0824414016901154,2.9173510369080677,5.280379090541491e-05,0.0,5.280379090541491e-05,-9.557438575982524e-10
H4,two_term_center,1,-1.602279420097768,0.23263021512018422,4.399687375453513e-21,0.0,4.399687375453513e-21,-8.321038172846312e-41
H4,two_term_center,2,-1.3880163292143617,0.44689330600359045,-1.2703934260391628e-07,0.0,1.2703934260391628e-07,-3.611375322123432e-14
H4,two_term_center,3,-1.3181800727844573,0.5167295624334949,-3.7232025461826143e-07,0.0,3.7232025461826143e-07,-2.6826870780563914e-13
H4,two_term_center,4,-1.291660212963727,0.5432494222542252,7.352465801523868e-21,0.0,7.352465801523868e-21,-9.951000617407018e-41
H4,two_term_center,5,-1.1062134698360315,0.7286961653819206,9.578097768541675e-21,0.0,9.578097768541675e-21,-1.2589603352126978e-40
H4,two_term_center,6,-1.0007975440348666,0.8341120911830855,-8.276127651555855e-07,0.0,8.276127651555855e-07,-8.211640812890831e-13
H4,two_term_center,7,-0.953344752704397,0.8815648825135551,2.0248491538552166e-07,0.0,2.0248491538552166e-07,-4.650836458206063e-14
H4,two_term_center,8,-0.8831787619676617,0.9517308732502905,-6.7185952209711025e-06,0.0,6.7185952209711025e-06,-4.742887197627427e-11
H4,two_term_center,9,-0.8153265384161082,1.0195830968018438,1.799398283306401e-06,0.0,1.799398283306401e-06,-3.1756452143255732e-12
H4,two_term_center,10,-0.7905198429945312,1.0443897922234209,-1.6475944252839873e-20,0.0,1.6475944252839873e-20,-2.5991898910154796e-40
H4,two_term_center,11,-0.7745036666381158,1.0604059685798364,-3.0596866803779794e-21,0.0,3.0596866803779794e-21,-8.828394840723298e-42
H4,two_term_center,12,-0.6519625219697148,1.1829471132482374,2.255939208093586e-20,0.0,2.255939208093586e-20,-4.302188706170799e-40
H4,two_term_center,13,-0.6124975827078092,1.222412052510143,9.238428927060991e-21,0.0,9.238428927060991e-21,-6.981980328572482e-41
H4,two_term_center,14,-0.6117724713365257,1.2231371638814266,-1.6435428934916053e-05,0.0,1.6435428934916053e-05,-2.2084467077877305e-10
H4,two_term_center,15,-0.448057410146619,1.386852225071333,-6.762018367682179e-07,0.0,6.762018367682179e-07,-3.2970270067900915e-13
H4,two_term_center,16,-0.38821455096863083,1.4466950842493214,1.5019079543342466e-06,0.0,1.5019079543342466e-06,-1.5592280141485107e-12
H4,two_term_center,17,-0.36917036738694675,1.4657392678310055,3.233429204809301e-20,0.0,3.233429204809301e-20,-7.1329633120801e-40
H4,two_term_center,18,-0.30790137719737587,1.5270082580205764,2.940301267787181e-07,0.0,2.940301267787181e-07,-5.661640334910624e-14
H4,two_term_center,19,-0.29316734012866336,1.5417422950892887,3.6360894333544804e-20,0.0,3.6360894333544804e-20,-8.575458044748273e-40
H4,two_term_center,20,-0.22007959130858268,1.6148300439093695,-4.083846482547076e-05,0.0,4.083846482547076e-05,-1.0327899307989436e-09
H4,two_term_center,21,-0.14399057828486375,1.6909190569330883,-4.817365517606759e-05,0.0,4.817365517606759e-05,-1.3724495229427747e-09
H4,two_term_center,22,-0.08053792042241656,1.7543717147955356,6.1226665221795286e-21,0.0,6.1226665221795286e-21,-2.1367789406127605e-41
H4,two_term_center,23,-0.050547185476518444,1.7843624497414337,8.164025893868658e-20,0.0,8.164025893868658e-20,-3.735301580988558e-39
H4,two_term_center,24,0.07234165859462317,1.9072512938125754,9.776543054517277e-20,0.0,9.776543054517277e-20,-5.011442089823675e-39
H4,two_term_center,25,0.07339260942198376,1.9083022446399358,7.887176768668466e-07,0.0,7.887176768668466e-07,-3.2598377722896327e-13
H4,two_term_center,26,0.11442070813562433,1.9493303433535765,1.0303051872545617e-18,0.0,1.0303051872545617e-18,-5.445607423611082e-37
H4,two_term_center,27,0.15305739017078104,1.9879670253887332,-2.3534122219692722e-05,0.0,2.3534122219692722e-05,-2.7860366976818047e-10
H4,two_term_center,28,0.24490149864373725,2.0798111338616896,-6.775672931810106e-05,0.0,6.775672931810106e-05,-2.2073996494874627e-09
H4,two_term_center,29,0.4760791285885283,2.3109887638064803,1.334936411795456e-07,0.0,1.334936411795456e-07,-7.711224093543688e-15
H4,two_term_center,30,0.5392582979922533,2.3741679332102055,1.4905004453329933e-19,0.0,1.4905004453329933e-19,-9.357348090090451e-39
H4,two_term_center,31,0.5810447925825365,2.4159544278004885,-5.793110939251479e-19,0.0,5.793110939251479e-19,-1.389104610927147e-37
H4,two_term_center,32,0.581467266408673,2.416376901626625,7.019739412612745e-05,0.0,7.019739412612745e-05,-2.039282091623093e-09
H4,two_term_center,33,0.8523222709984262,2.687231906216378,-2.6182996742887613e-05,0.0,2.6182996742887613e-05,-2.5511356755335515e-10
H4,two_term_center,34,0.9853212346857831,2.8202308699037353,2.583130009015102e-19,0.0,2.583130009015102e-19,-2.365962558129902e-38
H4,two_term_center,35,1.0824414016901154,2.9173510369080677,4.279002142426886e-05,0.0,4.279002142426886e-05,-6.276193403965348e-10
H4,m5_best,1,-1.602279420097768,0.23263021512018422,6.918431060261422e-22,0.0,6.918431060261422e-22,-2.0575439140982413e-42
