experiment_id,case_id,formula_id,state_id,order,state_expectation_real,state_expectation_imaginary,exact_expectation_real,state_minus_exact_expectation_real,operator_frobenius_norm,operator_action_2_norm
B,H4,current_m3,controlled_q0.010_phi4.712388980385,4,-1.1964724126370399e-05,-6.352747104407253e-22,-1.2874212807516118e-05,9.094886811457196e-07,0.000501650569506032,0.00017183919091717572
B,H4,current_m3,controlled_q0.010_phi4.712388980385,6,4.932951324817743e-07,-5.293955920339377e-23,4.3467394333328753e-07,5.862118914848673e-08,6.255330377649687e-05,2.582876318530522e-05
B,H4,current_m3,controlled_q0.010_phi4.712388980385,8,2.807284385224005e-08,1.3234889800848443e-23,2.2401912302007416e-08,5.670931550232635e-09,8.611474313156918e-06,4.344380259651344e-06
B,H4,current_m3,controlled_q0.050_phi0.000000000000,4,-1.1676735925418578e-06,0.0,-1.2874212807516118e-05,1.170653921497426e-05,0.000501650569506032,0.00017101628830241766
B,H4,current_m3,controlled_q0.050_phi0.000000000000,6,-4.44612337779457e-07,4.1142302278780063e-38,4.3467394333328753e-07,-8.792862811127445e-07,6.255330377649687e-05,2.4945211512240064e-05
B,H4,current_m3,controlled_q0.050_phi0.000000000000,8,-4.524894102713401e-07,5.877471754111438e-39,2.2401912302007416e-08,-4.748913225733475e-07,8.611474313156918e-06,4.201546534908499e-06
B,H4,current_m3,controlled_q0.050_phi1.570796326795,4,-8.326769401787517e-06,4.235164736271502e-22,-1.2874212807516118e-05,4.547443405728601e-06,0.000501650569506032,0.00017021047040545313
B,H4,current_m3,controlled_q0.050_phi1.570796326795,6,7.277798890757219e-07,2.117582368135751e-22,4.3467394333328753e-07,2.931059457424344e-07,6.255330377649687e-05,2.54585268345529e-05
B,H4,current_m3,controlled_q0.050_phi1.570796326795,8,5.075657005316989e-08,5.293955920339377e-23,2.2401912302007416e-08,2.8354657751162474e-08,8.611474313156918e-06,4.27280227668405e-06
B,H4,current_m3,controlled_q0.050_phi3.141592653590,4,-1.54858652110332e-05,-1.566073072319646e-53,-1.2874212807516118e-05,-2.6116524035170833e-06,0.000501650569506032,0.0001694008193798237
B,H4,current_m3,controlled_q0.050_phi3.141592653590,6,1.900172115930903e-06,-5.22024357439882e-54,4.3467394333328753e-07,1.4654981725976155e-06,6.255330377649687e-05,2.596169485570822e-05
B,H4,current_m3,controlled_q0.050_phi3.141592653590,8,5.540025503776815e-07,-6.525304467998525e-55,2.2401912302007416e-08,5.31600638075674e-07,8.611474313156918e-06,4.342889050651789e-06
B,H4,current_m3,controlled_q0.050_phi4.712388980385,4,-8.326769401787517e-06,-4.235164736271502e-22,-1.2874212807516118e-05,4.547443405728601e-06,0.000501650569506032,0.00017021047040545313
B,H4,current_m3,controlled_q0.050_phi4.712388980385,6,7.277798890757219e-07,-2.117582368135751e-22,4.3467394333328753e-07,2.931059457424344e-07,6.255330377649687e-05,2.54585268345529e-05
B,H4,current_m3,controlled_q0.050_phi4.712388980385,8,5.075657005316989e-08,-5.293955920339377e-23,2.2401912302007416e-08,2.8354657751162474e-08,8.611474313156918e-06,4.27280227668405e-06
B,H4,two_term_center,exact,4,-2.188967073957748e-05,0.0,-2.188967073957748e-05,0.0,0.000381814871643235,0.00013183132529425806
B,H4,two_term_center,exact,6,5.934314751720294e-07,0.0,5.934314751720294e-07,0.0,4.632831436266484e-05,1.9860569366013737e-05
B,H4,two_term_center,exact,8,8.287922473902417e-09,0.0,8.287922473902417e-09,0.0,6.573940678997761e-06,3.4384236250635385e-06
B,H4,two_term_center,rhf,4,-4.786610277607295e-05,0.0,-2.188967073957748e-05,-2.597643203649547e-05,0.000381814871643235,0.00014162191915740013
B,H4,two_term_center,rhf,6,-2.283706296068999e-06,0.0,5.934314751720294e-07,-2.8771377712410286e-06,4.632831436266484e-05,2.121169523774206e-05
B,H4,two_term_center,rhf,8,-3.465634428323483e-07,0.0,8.287922473902417e-09,-3.548513653062507e-07,6.573940678997761e-06,3.576875743874912e-06
B,H4,two_term_center,cisd,4,-2.233478267881745e-05,0.0,-2.188967073957748e-05,-4.451119392399716e-07,0.000381814871643235,0.0001317978962252152
B,H4,two_term_center,cisd,6,7.045199122445259e-07,0.0,5.934314751720294e-07,1.1108843707249656e-07,4.632831436266484e-05,1.9894035018864066e-05
B,H4,two_term_center,cisd,8,5.1432981610487084e-08,0.0,8.287922473902417e-09,4.314505913658467e-08,6.573940678997761e-06,3.442707141209158e-06
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,4,-2.1130188086410158e-05,-5.877471754111438e-39,-2.188967073957748e-05,7.594826531673218e-07,0.000381814871643235,0.00013182346899304252
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,6,4.47846235682354e-07,-7.346839692639297e-39,5.934314751720294e-07,-1.4558523948967537e-07,4.632831436266484e-05,1.980202760094817e-05
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,8,-5.00868113252337e-08,-7.346839692639297e-40,8.287922473902417e-09,-5.8374733799136115e-08,6.573940678997761e-06,3.430100284298131e-06
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,4,-2.1802948955098036e-05,-5.293955920339377e-23,-2.188967073957748e-05,8.672178447944329e-08,0.000381814871643235,0.00013180032646630815
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,6,5.971994507665001e-07,-7.940933880509066e-23,5.934314751720294e-07,3.767975594470751e-09,4.632831436266484e-05,1.9853287568384366e-05
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,8,8.692597604749853e-09,-6.617444900424222e-24,8.287922473902417e-09,4.046751308474361e-10,6.573940678997761e-06,3.437010296544694e-06
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,4,-2.247570982378591e-05,7.748799055748248e-54,-2.188967073957748e-05,-5.860390842084318e-07,0.000381814871643235,0.00013177717987531516
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,6,7.465526658506468e-07,-6.525304467998525e-55,5.934314751720294e-07,1.5312119067861745e-07,4.632831436266484e-05,1.990441552613935e-05
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,8,6.747200653473339e-08,-1.6313261169996311e-55,8.287922473902417e-09,5.918408406083097e-08,6.573940678997761e-06,3.4439064442528587e-06
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,4,-2.1802948955098036e-05,5.293955920339377e-23,-2.188967073957748e-05,8.672178447944329e-08,0.000381814871643235,0.00013180032646630815
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,6,5.971994507665001e-07,7.940933880509066e-23,5.934314751720294e-07,3.767975594470751e-09,4.632831436266484e-05,1.9853287568384366e-05
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,8,8.692597604749853e-09,6.617444900424222e-24,8.287922473902417e-09,4.046751308474361e-10,6.573940678997761e-06,3.437010296544694e-06
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,4,-1.8904601048648593e-05,-4.70197740328915e-38,-2.188967073957748e-05,2.9850696909288864e-06,0.000381814871643235,0.0001315940018043675
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,6,1.6094716983744787e-07,2.938735877055719e-39,5.934314751720294e-07,-4.324843053345815e-07,4.632831436266484e-05,1.962527188051979e-05
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,8,-1.7270296070407805e-07,2.938735877055719e-39,8.287922473902417e-09,-1.8099088317798048e-07,6.573940678997761e-06,3.4023824283453176e-06
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,4,-2.1022452894783016e-05,0.0,-2.188967073957748e-05,8.672178447944634e-07,0.000381814871643235,0.00013152100823324647
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,6,6.311112311167343e-07,1.852884572118782e-22,5.934314751720294e-07,3.767975594470497e-08,4.632831436266484e-05,1.9787630804355093e-05
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,8,1.2334673782376589e-08,0.0,8.287922473902417e-09,4.0467513084741725e-09,6.573940678997761e-06,3.4242640898427584e-06
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,4,-2.3140304740917456e-05,-3.915182680799115e-54,-2.188967073957748e-05,-1.2506340013399765e-06,0.000381814871643235,0.00013144797412851787
