experiment_id,case_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,model_status,quality_class,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,E_fit_hartree,E_state_hartree,E_proxy_hartree,E_total_hartree,closure_residual_hartree
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,1,0.35,0.35,fit_ok,resolved,-3.1496641251704016e-07,-3.149760576967875e-07,-3.273892140951458e-07,-3.273909208179049e-07,9.645179747320618e-12,1.2413156398358328e-08,1.7067227590736057e-12,1.2424508300864722e-08,9.645179747320618e-12,1.2413156398358328e-08,1.7067227590736057e-12,1.2424508300864722e-08,0.0
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,1,0.35,0.35,fit_ok,resolved,-3.2575669646482056e-07,-3.25801711442697e-07,-3.273892140951458e-07,-3.273909208179049e-07,4.501497787642542e-11,1.587502652448827e-09,1.7067227590736057e-12,1.634224353084326e-09,4.501497787642542e-11,1.587502652448827e-09,1.7067227590736057e-12,1.634224353084326e-09,0.0
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,1,0.35,0.35,fit_ok,resolved,-3.3729621785072995e-07,-3.3728588199969895e-07,-3.273892140951458e-07,-3.273909208179049e-07,-1.0335851031004645e-11,-9.896667904553137e-09,1.7067227590736057e-12,-9.905297032825068e-09,1.0335851031004645e-11,9.896667904553137e-09,1.7067227590736057e-12,9.905297032825068e-09,0.0
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,1,0.35,0.35,fit_ok,resolved,-3.2650593391860103e-07,-3.264602282527269e-07,-3.273892140951458e-07,-3.273909208179049e-07,-4.570566587413414e-11,9.289858424189137e-10,1.7067227590736057e-12,8.849868993038532e-10,4.570566587413414e-11,9.289858424189137e-10,1.7067227590736057e-12,8.849868993038532e-10,0.0
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,1,0.35,0.35,fit_ok,resolved,-2.7966078184680354e-07,-2.7969109746300255e-07,-3.273892140951458e-07,-3.273909208179049e-07,3.031561619901108e-11,4.769811663214326e-08,1.7067227590736057e-12,4.7730138971101346e-08,3.031561619901108e-11,4.769811663214326e-08,1.7067227590736057e-12,4.7730138971101346e-08,0.0
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,1,0.35,0.35,fit_ok,resolved,-3.136286058031179e-07,-3.137702656229115e-07,-3.273892140951458e-07,-3.273909208179049e-07,1.4165981979362105e-10,1.3618948472234296e-08,1.7067227590736057e-12,1.376231501478699e-08,1.4165981979362105e-10,1.3618948472234296e-08,1.7067227590736057e-12,1.376231501478699e-08,0.0
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,1,0.35,0.35,fit_ok,resolved,-3.4995502999772684e-07,-3.499224453102818e-07,-3.273892140951458e-07,-3.273909208179049e-07,-3.258468744504207e-11,-2.253323121513599e-08,1.7067227590736057e-12,-2.256410917982196e-08,3.258468744504207e-11,2.253323121513599e-08,1.7067227590736057e-12,2.256410917982196e-08,0.0
B,H4,two_term_center,controlled_q0.010_phi4.712388980385,1,0.35,0.35,fit_ok,resolved,-3.1598720602083017e-07,-3.158432771497339e-07,-3.273892140951458e-07,-3.273909208179049e-07,-1.439288710962613e-10,1.1545936945411902e-08,1.7067227590736057e-12,1.1403714797074715e-08,1.439288710962613e-10,1.1545936945411902e-08,1.7067227590736057e-12,1.1403714797074715e-08,0.0
B,H4,two_term_center,controlled_q0.050_phi0.000000000000,1,0.35,0.35,fit_ok,resolved,-1.8749435793069502e-07,-1.8755860516846997e-07,-3.273892140951458e-07,-3.273909208179049e-07,6.424723777494885e-11,1.3983060892667584e-07,1.7067227590736057e-12,1.3989656288720986e-07,6.424723777494885e-11,1.3983060892667584e-07,1.7067227590736057e-12,1.3989656288720986e-07,0.0
B,H4,two_term_center,controlled_q0.050_phi1.570796326795,1,0.35,0.35,fit_ok,resolved,-2.618984692596742e-07,-2.6220660801827357e-07,-3.273892140951458e-07,-3.273909208179049e-07,3.081387585993752e-10,6.518260607687225e-08,1.7067227590736057e-12,6.54924515582307e-08,3.081387585993752e-10,6.518260607687225e-08,1.7067227590736057e-12,6.54924515582307e-08,0.0
B,H4,two_term_center,controlled_q0.050_phi3.141592653590,1,0.35,0.35,fit_ok,resolved,-3.4146892714387895e-07,-3.413953957239158e-07,-3.273892140951458e-07,-3.273909208179049e-07,-7.353141996314122e-11,-1.4006181628769995e-08,1.7067227590736057e-12,-1.4078006325974063e-08,7.353141996314122e-11,1.4006181628769995e-08,1.7067227590736057e-12,1.4078006325974063e-08,0.0
B,H4,two_term_center,controlled_q0.050_phi4.712388980385,1,0.35,0.35,fit_ok,resolved,-2.6706481579699607e-07,-2.6674739286461756e-07,-3.273892140951458e-07,-3.273909208179049e-07,-3.174229323785156e-10,6.064182123052826e-08,1.7067227590736057e-12,6.032610502090881e-08,3.174229323785156e-10,6.064182123052826e-08,1.7067227590736057e-12,6.032610502090881e-08,0.0
B,H4,two_term_center,rhf,1,0.4,0.4,fit_ok,resolved,-1.1661143624069728e-06,-1.166503133115393e-06,-5.579397956455843e-07,-5.579446760162199e-07,3.887707084201915e-10,-6.085633374698087e-07,4.880370635591812e-12,-6.081696863907529e-07,3.887707084201915e-10,6.085633374698087e-07,4.880370635591812e-12,6.081696863907529e-07,0.0
B,H4,two_term_center,cisd,1,0.4,0.4,fit_ok,resolved,-5.711197391989777e-07,-5.710777287404813e-07,-5.579397956455843e-07,-5.579446760162199e-07,-4.201045849642421e-11,-1.3137933094897009e-08,4.880370635591812e-12,-1.3175063182757841e-08,4.201045849642421e-11,1.3137933094897009e-08,4.880370635591812e-12,1.3175063182757841e-08,0.0
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,1,0.4,0.4,fit_ok,resolved,-5.362226636018578e-07,-5.362759799567908e-07,-5.579397956455843e-07,-5.579446760162199e-07,5.331635493302523e-11,2.16638156887935e-08,4.880370635591812e-12,2.1722012414362117e-08,5.331635493302523e-11,2.16638156887935e-08,4.880370635591812e-12,2.1722012414362117e-08,0.0
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,1,0.4,0.4,fit_ok,resolved,-5.55143661252149e-07,-5.553642583186686e-07,-5.579397956455843e-07,-5.579446760162199e-07,2.2059706651959479e-10,2.575537326915725e-09,4.880370635591812e-12,2.8010147640709116e-09,2.2059706651959479e-10,2.575537326915725e-09,4.880370635591812e-12,2.8010147640709116e-09,0.0
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,1,0.4,0.4,fit_ok,resolved,-5.754119976009128e-07,-5.753548690457262e-07,-5.579397956455843e-07,-5.579446760162199e-07,-5.7128555186606634e-11,-1.741507340014194e-08,4.880370635591812e-12,-1.7467321584692953e-08,5.7128555186606634e-11,1.741507340014194e-08,4.880370635591812e-12,1.7467321584692953e-08,0.0
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,1,0.4,0.4,fit_ok,resolved,-5.564910000038256e-07,-5.562665906822277e-07,-5.579397956455843e-07,-5.579446760162199e-07,-2.244093215979131e-10,1.6732049633566337e-09,4.880370635591812e-12,1.4536760123943124e-09,2.244093215979131e-10,1.6732049633566337e-09,4.880370635591812e-12,1.4536760123943124e-09,0.0
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,1,0.4,0.4,fit_ok,resolved,-4.7501833898102814e-07,-4.751858943494228e-07,-5.579397956455843e-07,-5.579446760162199e-07,1.6755536839464555e-10,8.275390129616151e-08,4.880370635591812e-12,8.292633703519175e-08,1.6755536839464555e-10,8.275390129616151e-08,4.880370635591812e-12,8.292633703519175e-08,0.0
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,1,0.4,0.4,fit_ok,resolved,-5.345816572009068e-07,-5.352758125588483e-07,-5.579397956455843e-07,-5.579446760162199e-07,6.941553579415379e-10,2.2663983086735977e-08,4.880370635591812e-12,2.3363018815313107e-08,6.941553579415379e-10,2.2663983086735977e-08,4.880370635591812e-12,2.3363018815313107e-08,0.0
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,1,0.4,0.4,fit_ok,resolved,-5.983863991961665e-07,-5.982062738838371e-07,-5.579397956455843e-07,-5.579446760162199e-07,-1.8012531232944552e-10,-4.0266478238252804e-08,4.880370635591812e-12,-4.044172317994666e-08,1.8012531232944552e-10,4.0266478238252804e-08,4.880370635591812e-12,4.044172317994666e-08,0.0
