system_id,formula_id,state_id,requested_grouped_term_count,selected_grouped_term_count,selected_fraction,approximate_expectation_real_hartree,full_expectation_real_hartree,expectation_relative_error,action_relative_error,expectation_sign_matches_full,selected_importance_score_fraction,selected_actual_absolute_contribution_fraction,dropped_signed_expectation_real_hartree,selected_linear_combination_action_count,selected_equivalent_fragment_action_count,analytic_time_from_truncated_expectation,analytic_cost_from_truncated_expectation,accuracy_worsened_from_previous_count
H4,yoshida4,hf,100,100,0.21929824561403508,-0.0035910755206081755,-0.003612093290364899,0.005818722847714795,0.28710006920027176,True,0.9783598643136389,0.9856711746818568,-2.101776975672355e-05,3952,19968,0.30693484972928153,28519943.263923634,False
H4,yoshida4,hf,200,200,0.43859649122807015,-0.0035933529478415966,-0.003612093290364899,0.005188222179446878,0.02132171282475308,True,0.9963856982980107,0.9939047347977913,-1.874034252330242e-05,7904,33650,0.30688620519071597,28524463.9607048,False
H4,yoshida4,hf,300,300,0.6578947368421053,-0.003583261375810962,-0.003612093290364899,0.007982051468837969,0.008776812661175006,True,0.9995038654270956,0.9968476754494072,-2.8831914553936917e-05,11892,43530,0.3071020489800769,28504415.809247598,True
H4,yoshida4,hf,400,400,0.8771929824561403,-0.0036180420902261093,-0.003612093290364899,0.0016469120210926978,0.003207361070693757,True,0.999970160462801,0.9994075622728585,5.948799861210229e-06,15916,51836,0.30636132023950746,28573334.561806,False
H4,yoshida4,hf,456,456,1.0,-0.0036120932903648973,-0.003612093290364899,4.80254339112477e-16,1.099216163658668e-15,True,1.0000000000000013,1.0000000000000009,-1.734723475976807e-18,18384,55216,0.3064873799480042,28561582.21420118,False
H4,yoshida4,cisd,1,1,0.0021929824561403508,-1.2391318556251809e-05,-0.0046669621088255234,0.9973448855449631,1.2511656966590017,True,0.2146256247561666,0.0006136616947240638,-0.004654570790269271,46,382,1.2664059888450248,6912289.24776608,False
H4,yoshida4,cisd,5,5,0.010964912280701754,-0.004900479448440164,-0.0046669621088255234,0.050036262169997896,0.382501694281016,True,0.5828522111493314,0.8446122055972739,0.00023351733961464016,212,1514,0.28398322907069545,30824934.728173167,False
H4,yoshida4,cisd,10,10,0.021929824561403508,-0.004738220943930815,-0.0046669621088255234,0.015268783727756563,1.058138885344239,True,0.69874780438039,0.8531580471254882,7.12588351052916e-05,424,3016,0.28638384069629264,30566544.8117351,False
H4,yoshida4,cisd,25,25,0.05482456140350877,-0.0038713861351788656,-0.0046669621088255234,0.17046977350473294,0.6297867560174045,True,0.8655961938487854,0.9013029041437288,-0.0007955759736466578,1042,6628,0.3012213243043238,29060905.698549114,True
H4,yoshida4,cisd,50,50,0.10964912280701754,-0.004242550247823273,-0.0046669621088255234,0.09093964148533816,0.32249636431058404,True,0.9325086267022858,0.9272731589909421,-0.0004244118610022508,2066,11824,0.29440527517677334,29733721.6350621,False
H4,yoshida4,cisd,100,100,0.21929824561403508,-0.004666543611123597,-0.0046669621088255234,8.967240191117772e-05,0.2660260259905557,True,0.9783598643136389,0.9721393690119202,-4.184977019268399e-07,3952,19968,0.28747726466906487,30450284.512332145,False
H4,yoshida4,cisd,200,200,0.43859649122807015,-0.004648861447112489,-0.0046669621088255234,0.003878467682179109,0.025247300427098933,True,0.9963856982980107,0.9906525997878646,-1.8100661713034254e-05,7904,33650,0.2877502339700068,30421398.374649,True
H4,yoshida4,cisd,300,300,0.6578947368421053,-0.0046473925725024215,-0.0046669621088255234,0.004193206601376657,0.009192248402457347,True,0.9995038654270956,0.9959606100169955,-1.9569536323101912e-05,11892,43530,0.2877729681655207,30418995.070325926,True
H4,yoshida4,cisd,400,400,0.8771929824561403,-0.004670695004039387,-0.0046669621088255234,0.0007998554791786674,0.0028620981901190112,True,0.999970160462801,0.999304729119473,3.732895213863323e-06,15916,51836,0.2874133647000293,30457054.455822743,False
H4,yoshida4,cisd,456,456,1.0,-0.00466696210882553,-0.0046669621088255234,1.486811707938519e-15,1.50105397168465e-15,True,1.0000000000000013,0.9999999999999998,6.938893903907228e-18,18384,55216,0.28747081975813227,30450967.1881311,False
H4,current_m3,exact,1,1,0.0021929824561403508,-1.376428539288238e-21,-1.2874212807821153e-05,0.9999999999999999,0.8608011577248097,True,0.3558766474487759,2.5393143639805612e-17,-1.2874212807821152e-05,46,382,12335.703408007083,1625.2777678641617,False
H4,current_m3,exact,5,5,0.010964912280701754,1.615768922305979e-05,-1.2874212807821153e-05,2.255042888000415,0.2990306982318979,False,0.6381837846684757,0.2980863238571518,-2.9031902030880945e-05,212,1626,1.1851068911712979,16917414.49599095,True
H4,current_m3,exact,10,10,0.021929824561403508,-1.350855846286617e-05,-1.2874212807821153e-05,0.04927257802198579,0.09394044186762701,True,0.797355492719611,0.8453862869430062,6.343456550450165e-07,442,3064,1.2393674458606456,16176755.785349539,False
