formula_id,formal_order,significant_digits,w0_policy,normalization_residual,complete_word_hard_linf,degree_p_plus_1_linf,lower_order_crossover_tau,crossover_contamination_degree,hard_conditions_passed
current_m3,4,16,explicit_saved_tuple,0.000000000000000099999999999999999999999999999999999999999999999999999999999999998648030793599761,0.00000000000000095240311622090346524802509095566533333333333333333333333333333333351312794928694,0.0010634354277307207509859850839715044331868390063002269585536364458848599713509333,0.00055376081213488667327518868951145305367805397631755670029053688592969138032351347,1,True
two_term_center,4,6,explicit_saved_tuple,0.0000010000000000000000000000000000000000000000000000000000000000000000000000000017334,0.0000010000005000000000000000000000000000000000000000000000000000000000000000000004905,0.0010948609541573033039683616333333333333333333333333333333333333333333333333333333,0.17384422090612733863810900254810426336123391077564408307127306266031312702600814,1,False
two_term_center,4,8,explicit_saved_tuple,-0.000000019999999999999999999999999999999999999999999999999999999999999999999999999781656,0.000000020000000000000000000000000000000000000000000000000000000000000000000000001890096,0.0010948962591081095385078155705035674263333333333333333333333333333333333333333334,0.065375384467226077531589075279528927120702072820553896441727078775331569841158151,1,False
two_term_center,4,10,explicit_saved_tuple,0.00000000010000000000000000000000000000000000000000000000000000000000000000000000020975224,0.00000000010000000000499999999999999999999999999999999999999999999999999999999999953403517,0.0010948955840091810412939450996848249918114138060233333333333333333333333333333333,0.017384284628394586775580893089652500535707516172529631005431134000637805941153393,1,False
two_term_center,4,12,explicit_saved_tuple,0.0,0.00000000000009645835144434092285924833333333333333333333333333333333333333333333325940656198,0.0010948955875929394853792536681934939057642634989774740869518333333333333333333334,0.0000093860651590687962814016579510077779713710212806025051158733617616867296020308793,3,True
two_term_center,4,14,explicit_saved_tuple,0.0,0.00000000000000084780609207274576993917581433333333333333333333333333333333333333327541209424883,0.0010948955875980907889956676675277390537157791866479102251035346035133833333333333,0.00000087995793865208783927035856454659106955213176429890699463588808929027142940129387,3,True
two_term_center,4,16,explicit_saved_tuple,-0.000000000000000099999999999999999999999999999999999999999999999999999999999999998648030793599761,0.0000000000000015225537058380927534593879215830953333333333333333333333333333333334551489008474,0.0010948955875980431504284632545616768150256945545170286051665129156731396128759733,0.00054973934873332199034167764963281451389831439623989261627511924728461706467586545,1,True
joint_refine_r0_s0046,4,6,explicit_json_float,-0.000000999999999999999999999999999999999999999999999999999999999999999999999999999625,0.0000010000000000000000000000000000000000000000000000000000000000000000000000000006792,0.011267097867615934256712056753080833333333333333333333333333333333333333333333333,0.097061496571816558886106754995725409694724920535125749280812096978279911527810141,1,False
joint_refine_r0_s0046,4,8,explicit_json_float,-0.00000005000000000000000000000000000000000000000000000000000000000000000000000000156258,0.00000005000000000000000000000000000000000000000000000000000000000000000000000000050836,0.011267044278331411557484443078269582709806183333333333333333333333333333333333333,0.045897602545411435157964563820586924348651032277060295929720956290680780455098019,1,False
joint_refine_r0_s0046,4,10,explicit_json_float,-2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,0.000000000021490603925150304144133333333333333333333333333333333333333333333333333574054575,0.011267039833025555656239864271771778261863418328281333333333333333333333333333333,0.000043673640533436972179562514434209830154783523303423488025454987462432768749582846,3,False
