condition,formula,effective_order,geometric_mean_time,left_time,right_time,roundoff_risk,sign_reversal,tau__lambda_h_sector_centered_half_width,tau__lambda_group_half_width_sum,tau__lambda_pauli_nonidentity_l1,diagnosis
full_equilibrium,two_term_center,3.9860983158962666,0.042426406871192854,0.03,0.06,False,False,0.8246570783799665,1.7967063254232432,3.169325476398775,direct_small_time_values_reach_numerical_floor
full_equilibrium,yoshida4,3.997288812018874,0.010606601717798213,0.0075,0.015,False,False,0.20616426959499162,0.4491765813558108,0.7923313690996937,direct_effective_order_reaches_formal_order_4
full_equilibrium,yoshida4,3.9885620009664686,0.021213203435596427,0.015,0.03,False,False,0.41232853918998325,0.8983531627116216,1.5846627381993874,direct_effective_order_reaches_formal_order_4
full_equilibrium,yoshida4,3.9537798174004863,0.042426406871192854,0.03,0.06,False,False,0.8246570783799665,1.7967063254232432,3.169325476398775,direct_effective_order_reaches_formal_order_4
full_equilibrium,yoshida6_m3,5.969916469611707,0.010606601717798213,0.0075,0.015,True,False,0.20616426959499162,0.4491765813558108,0.7923313690996937,direct_small_time_values_reach_numerical_floor
full_equilibrium,yoshida6_m3,5.974350095308204,0.021213203435596427,0.015,0.03,False,False,0.41232853918998325,0.8983531627116216,1.5846627381993874,direct_small_time_values_reach_numerical_floor
full_equilibrium,yoshida6_m3,5.9017139995600845,0.042426406871192854,0.03,0.06,False,False,0.8246570783799665,1.7967063254232432,3.169325476398775,direct_small_time_values_reach_numerical_floor
full_stretch150,joint_refine_r0_s0046,3.9892552467577667,0.010606601717798213,0.0075,0.015,False,False,0.19963407231488522,0.462969202299896,0.7907143022316792,direct_effective_order_reaches_formal_order_4
full_stretch150,joint_refine_r0_s0046,3.995393219170649,0.021213203435596427,0.015,0.03,False,False,0.39926814462977045,0.925938404599792,1.5814286044633583,direct_effective_order_reaches_formal_order_4
full_stretch150,joint_refine_r0_s0046,3.98149442826106,0.042426406871192854,0.03,0.06,False,False,0.7985362892595409,1.851876809199584,3.1628572089267166,direct_effective_order_reaches_formal_order_4
