condition,formula,state_id,direction_id,target_energy_error_hartree,phase_index,relative_phase_radians,a4,a6,coefficient_relative_2_norm_error,predicted_time,exact_echo_predicted_time,predicted_time_relative_error,predicted_model_cost,exact_echo_predicted_model_cost,predicted_model_cost_relative_error,minimum_echo_magnitude,training_design_condition_number,training_maximum_absolute_residual_hartree
N2_active_eq_sto3g,yoshida4,rhf_orthogonal_component__de0.01__phase3,rhf_orthogonal_component,0.01,3,4.71238898038469,-0.061066975528438656,0.003767744137061146,0.2186403629695805,0.1512236604483641,0.14978236827717722,0.009622575659370858,516448052.36849403,521673365.26555234,0.010016445624741466,0.9999999999999925,29.20924143389023,1.9381409848644832e-11
N2_active_eq_sto3g,yoshida4,rhf_orthogonal_component__de0.05__phase0,rhf_orthogonal_component,0.05,0,0.0,-0.06822057866424787,0.027833087619918904,0.16181841260395166,0.14748227507134531,0.14978236827717722,0.01535623473101666,529956577.2435409,521673365.26555234,0.015878157731461062,0.9999999999999901,29.20924143389023,9.878334219552712e-14
N2_active_eq_sto3g,yoshida4,rhf_orthogonal_component__de0.05__phase1,rhf_orthogonal_component,0.05,1,1.5707963267948966,-0.06047856618565674,0.052342083633204806,0.519863828414562,0.15260520993888002,0.14978236827717722,0.018846288078974816,512770177.2764389,521673365.26555234,0.017066594888511033,0.999999999999991,29.20924143389023,4.279786752852466e-11
N2_active_eq_sto3g,yoshida4,rhf_orthogonal_component__de0.05__phase2,rhf_orthogonal_component,0.05,2,3.141592653589793,-0.05301446154595252,0.011862199346637941,0.1881613230865364,0.15689174727702132,0.14978236827717722,0.04746472553223313,497998015.37606233,521673365.26555234,0.04538347453763203,0.9999999999999911,29.20924143389023,1.2500477396055053e-13
N2_active_eq_sto3g,yoshida4,rhf_orthogonal_component__de0.05__phase3,rhf_orthogonal_component,0.05,3,4.71238898038469,-0.060756475817460624,-0.012646455030987085,0.46415347968198345,0.15108923941685445,0.14978236827717722,0.008725133369895888,516584517.39123034,521673365.26555234,0.009754854690983805,0.9999999999999902,29.20924143389023,4.281608885141693e-11
N2_active_stretch150_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,-2.2376297919308832e-05,-3.61689696892148e-07,0.20907031879501978,1.0853033589064198,1.1737059952182491,0.0753192338387868,164063941.0805161,153231627.32643315,0.07069241476504451,0.9999999997738708,29.20924143389023,3.966458040661781e-10
N2_active_stretch150_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,-1.8845924794605e-05,2.8535465853432565e-06,0.09992880787445593,1.2648016919740153,1.1737059952182491,0.07761372705506808,146409358.9147965,153231627.32643315,0.044522586692256394,0.9999999997873158,29.20924143389023,1.7693392950852946e-10
N2_active_stretch150_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,-1.5299535714389882e-05,1.9949947575760903e-06,0.1894269806207465,1.3227024915186505,1.1737059952182491,0.12694533120510787,139545790.9610226,153231627.32643315,0.08931469699956451,0.999999999797777,29.20924143389023,3.405104358551088e-10
N2_active_stretch150_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,-1.8829908643851535e-05,-1.2202421610896925e-06,0.11810773898118296,1.110770343539298,1.1737059952182491,0.053621308858738836,159453818.30690596,153231627.32643315,0.040606440648297104,0.9999999997842608,29.20924143389023,1.2080124821381785e-10
N2_active_stretch150_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,-2.6194761699228153e-05,-2.552365297520862e-06,0.44256588959869275,1.0162205040402221,1.1737059952182491,0.13417797286512356,174005947.76206222,153231627.32643315,0.13557462514819485,0.9999999997578816,29.20924143389023,9.22093031724249e-10
N2_active_stretch150_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,-1.8315427272507946e-05,4.623626400800138e-06,0.19523698474726717,1.9902887576536117,1.1737059952182491,0.6957302474062255,71704219.75030299,153231627.32643315,0.5320533952331544,0.9999999997878037,29.20924143389023,4.3172506799103873e-10
N2_active_stretch150_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,-1.0400346256255143e-05,2.7074480877665608e-06,0.4526541821272586,1.9599625552631958,1.1737059952182491,0.6698922585794096,72814314.94522962,153231627.32643315,0.5248088386471843,0.9999999998112626,29.20924143389023,7.231383836397741e-10
